[0.01897977],[0.00480457],[0.21281204]
[0.04389361],[0.00345008],[0.39652288]
[0.00742281],[0.00226734],[0.09234229]
[0.01480486],[0.00061477],[0.79744333]
[0.01341039],[0.0003456],[0.8068951]
[0.00728576],[0.00718971],[0.08410612]
[0.01787034],[0.0040716],[0.21162076]
[0.05756514],[0.00217178],[0.6735525]
[0.03518238],[0.00058876],[0.74360436]
[0.03244875],[0.00093111],[0.7435986]
[0.18191311],[0.00150455],[0.5302917]
[0.02016084],[0.00166328],[0.7755759]
[0.01418713],[0.0013097],[0.80029374]
[0.02518815],[0.00259808],[0.3994862]
[0.04716434],[0.0034527],[0.51053756]
[0.01330424],[0.0013939],[0.8064543]
[0.02299245],[0.00055354],[0.7585514]
[0.04072236],[0.01136637],[0.37079877]
[0.01424479],[0.00101237],[0.8049434]
[0.02311455],[0.00010389],[0.77700615]
[0.02871801],[0.00279821],[0.43934155]
[0.03339661],[0.000522],[0.74122417]
[0.04350764],[0.0003457],[0.70347536]
[0.05320714],[0.00144135],[0.69182813]
[0.18422447],[0.00176064],[0.5447682]
[0.0978898],[0.00226526],[0.5349526]
[0.16025408],[0.01882477],[0.4064249]
[0.02142958],[0.00041841],[0.76786584]
[0.03141586],[0.00063046],[0.747722]
[0.01551044],[0.00085667],[0.7925164]
[0.06658185],[0.00325901],[0.68586266]
[0.1306007],[0.01548976],[0.52766025]
[0.13477135],[0.00671888],[0.41683978]
[0.16476694],[0.00523503],[0.41416255]
[0.01249565],[0.00046038],[0.81273985]
[0.1514987],[0.00735341],[0.50594515]
[0.01311883],[0.0015958],[0.81653404]
[0.09579331],[0.00735229],[0.30634508]
[0.13161956],[0.00196256],[0.58108133]
[0.02697513],[0.00099332],[0.75681]
[0.01182338],[6.138663e-05],[0.8160316]
[0.02282523],[0.00049866],[0.76531905]
[0.01343361],[0.00189395],[0.7949098]
[0.01843103],[0.00092384],[0.77234745]
[0.01476566],[0.00570757],[0.14880389]
[0.01873922],[0.00035752],[0.783167]
[0.01426454],[0.0024533],[0.78389233]
[0.10010785],[0.00373375],[0.27525556]
[0.03852541],[0.00109698],[0.2606793]
[0.02635383],[0.00105984],[0.7577864]
[0.06569559],[0.00549458],[0.33508807]
[0.0114488],[0.00100785],[0.81954706]
[0.03978014],[0.00380528],[0.5594578]
[0.02387419],[0.0032438],[0.7698189]
