[0.02126019],[0.001026],[0.34189394]
[0.02225618],[0.00122641],[0.47139192]
[0.15580015],[0.00778671],[0.50323874]
[0.01463039],[0.05444816],[0.29722697]
[0.02171121],[0.00192296],[0.42463088]
[0.14127415],[0.00676167],[0.46515235]
[0.03049179],[0.0021998],[0.74862385]
[0.11825355],[0.0012829],[0.6186791]
[0.0176484],[0.00137603],[0.5741922]
[0.01502794],[0.00105633],[0.8005894]
[0.01862955],[0.01305644],[0.24799652]
[0.0189512],[0.00037654],[0.78137577]
[0.03183061],[0.00100443],[0.7429434]
[0.02923777],[0.00127662],[0.7432165]
[0.0393938],[0.00049515],[0.7336116]
[0.01194878],[0.00208931],[0.8085368]
[0.08955879],[0.00897057],[0.61025137]
[0.15771747],[0.00727182],[0.52988994]
[0.01765919],[0.00077159],[0.79112166]
[0.01524655],[0.00193174],[0.7875859]
[0.03418263],[0.00065949],[0.7478131]
[0.05058425],[0.00534784],[0.6376741]
[0.0454364],[0.00618666],[0.48962975]
[0.10430981],[0.01151558],[0.34783715]
[0.10458865],[0.00927276],[0.35597545]
[0.08876591],[0.00524816],[0.36213198]
[0.07890864],[0.00450814],[0.33364803]
[0.03829957],[0.00032706],[0.7385776]
[0.01554806],[0.00262483],[0.7905017]
[0.03864696],[0.00253615],[0.6701287]
[0.04315471],[0.00428694],[0.65889615]
[0.0402904],[0.00958828],[0.16069384]
[0.02855851],[0.0017841],[0.75848114]
[0.01361259],[0.00271739],[0.8085554]
[0.02323608],[0.00011229],[0.7605933]
[0.10716848],[0.00128097],[0.290093]
[0.01490035],[0.00140022],[0.7991839]
[0.02027519],[0.00123505],[0.7681481]
[0.0315369],[0.00197467],[0.7450425]
[0.08050789],[0.00184897],[0.31431323]
[0.02474142],[0.00122364],[0.7646142]
[0.01720853],[0.00139769],[0.7779337]
