[0.01545205],[0.00326547],[0.7574441]
[0.0170737],[0.00112316],[0.7609236]
[0.01631454],[0.00133378],[0.18752393]
[0.0223537],[0.00436901],[0.7650832]
[0.00340111],[0.0048603],[0.89652014]
[0.02133169],[0.00379318],[0.21465321]
[0.01949025],[0.00058441],[0.7839139]
[0.03584667],[0.00080248],[0.7327112]
[0.09796216],[0.00640105],[0.6061537]
[0.01627464],[0.00488106],[0.77298564]
[0.01220802],[0.0007074],[0.8093929]
[0.01508638],[0.00179938],[0.17468843]
[0.00781645],[0.00629282],[0.8254672]
[0.00971765],[0.00321295],[0.82881814]
[0.0137559],[0.00276708],[0.7974111]
[0.01993378],[0.00042263],[0.7700671]
[0.02614391],[0.00483152],[0.75228894]
[0.01150909],[0.0005742],[0.8059818]
[0.00782362],[0.00552992],[0.83548415]
[0.1783534],[0.00181968],[0.5863415]
[0.01149771],[0.00483126],[0.17867097]
[0.00537284],[0.00231199],[0.8457713]
[0.01012095],[0.00282776],[0.82562304]
[0.026336],[0.00039432],[0.7618082]
[0.11630471],[0.0133016],[0.52730745]
[0.00695382],[0.00211136],[0.83879775]
[0.00461151],[0.00372439],[0.8811706]
[0.01497551],[0.00031476],[0.79514265]
[0.00474702],[0.00285014],[0.84342325]
[0.02615349],[0.00192618],[0.73970306]
[0.03287159],[0.00079738],[0.7427495]
[0.0139447],[0.00032683],[0.8089813]
[0.00915331],[0.0035638],[0.82971466]
[0.04680243],[0.0054513],[0.232457]
[0.10000345],[0.00184836],[0.37326735]
[0.01427115],[0.00154468],[0.80007553]
[0.0055937],[0.00057293],[0.8489172]
[0.02746876],[0.00178627],[0.7393005]
[0.04834599],[0.00748311],[0.20155768]
[0.01887972],[0.00141782],[0.3666746]
[0.06672996],[0.00320845],[0.31755608]
[0.01860713],[0.00034854],[0.7807551]
