[0.03382634],[0.00325809],[0.6789764]
[0.15532872],[0.01659423],[0.43350735]
[0.0345976],[0.00834628],[0.2936334]
[0.04241492],[0.00073152],[0.7024274]
[0.01816688],[0.00124718],[0.783916]
[0.03161092],[0.00388974],[0.65945643]
[0.02159026],[0.0015956],[0.7715581]
[0.01877643],[0.00149479],[0.23743045]
[0.04243423],[0.00124675],[0.7161611]
[0.02051547],[0.00075209],[0.7747832]
[0.02162062],[0.00147474],[0.7686779]
[0.01253933],[0.00282231],[0.8053692]
[0.01158682],[0.00095766],[0.8108231]
[0.03539043],[0.00134295],[0.7301229]
[0.05615764],[0.00087936],[0.6570648]
[0.02463355],[0.00140695],[0.77073795]
[0.01704526],[0.00112344],[0.7836834]
[0.03096167],[0.00334243],[0.74843186]
[0.01917227],[0.00077849],[0.77490294]
[0.04045478],[0.00833215],[0.53644]
[0.02043866],[0.0004321],[0.78690207]
[0.0204498],[0.00039125],[0.77098167]
[0.02683093],[0.00131179],[0.75550354]
[0.02353653],[0.00066433],[0.7595682]
[0.02405595],[0.0004743],[0.77244633]
[0.18856938],[0.00406061],[0.5110728]
[0.04418013],[0.00171001],[0.71204054]
[0.02451017],[0.0008921],[0.76479614]
[0.02865715],[0.00127683],[0.7533283]
[0.0240996],[0.00204398],[0.77028173]
[0.01367888],[0.00060552],[0.80378467]
[0.01642406],[0.00166229],[0.7931272]
[0.01834867],[5.5896933e-05],[0.79105127]
[0.01341431],[0.00109398],[0.7925071]
[0.04317699],[0.00054274],[0.7299402]
[0.01206023],[0.00055365],[0.80902827]
[0.01918999],[0.00281925],[0.77521384]
[0.02265348],[0.0018945],[0.7702515]
[0.02160125],[0.00085955],[0.7762497]
[0.09432737],[0.00489283],[0.2886389]
[0.01740703],[0.00079126],[0.7901837]
[0.0584696],[0.00374795],[0.5876346]
[0.02143623],[0.00163732],[0.7748485]
[0.02855525],[0.00182265],[0.74669725]
[0.05009108],[0.00122196],[0.67309123]
[0.07157707],[0.00666289],[0.40856805]
[0.05590084],[0.00189754],[0.69897467]
[0.12721175],[0.00960831],[0.38216576]
[0.02531274],[0.00062564],[0.7621968]
[0.06678659],[0.00203147],[0.6410196]
[0.05579734],[0.00416805],[0.49310198]
[0.02726148],[0.00128896],[0.7684029]
[0.10715292],[0.00329663],[0.50507504]
[0.02874959],[0.0002372],[0.7498821]
[0.02937455],[0.01274409],[0.17280819]
[0.02617937],[0.00163957],[0.7663109]
[0.02199594],[0.00032049],[0.76519966]
