[0.02661855],[0.0031521],[0.70857203]
[0.01439033],[0.00241445],[0.17726213]
[0.01534808],[0.00016019],[0.8021653]
[0.01542873],[0.00192174],[0.21148257]
[0.00966201],[0.00065067],[0.82342994]
[0.01893544],[0.00109559],[0.78255767]
[0.01743884],[0.00170771],[0.78909427]
[0.02871409],[0.0023576],[0.47240695]
[0.07646476],[0.02586479],[0.3100465]
[0.04500201],[0.00238174],[0.71321666]
[0.02206215],[0.00139952],[0.77963746]
[0.04049944],[0.00074035],[0.7298724]
[0.02338109],[0.00058154],[0.766884]
[0.02569876],[0.00107558],[0.7607995]
[0.02646814],[9.9516496e-05],[0.7614781]
[0.15088601],[0.00366304],[0.5311197]
[0.02633473],[0.00143847],[0.74765575]
[0.04222698],[0.00174974],[0.7158333]
[0.01422247],[0.00058382],[0.79924715]
[0.01392359],[0.00077085],[0.8106512]
[0.04730644],[0.00090564],[0.3446309]
[0.01304381],[0.00177478],[0.8024392]
[0.03062518],[0.00156369],[0.75023746]
[0.02310699],[0.00072153],[0.7740092]
[0.02340136],[0.00157931],[0.771011]
[0.01960753],[0.00079847],[0.78620946]
[0.02234368],[0.00173639],[0.77683866]
[0.02311729],[0.00166431],[0.57155854]
[0.02068057],[0.00219375],[0.22890703]
[0.01619616],[0.00092833],[0.7911449]
[0.01301816],[0.00579455],[0.1944695]
[0.01582083],[0.00314885],[0.7802843]
[0.01902938],[0.00184733],[0.7768825]
[0.01276798],[0.0012681],[0.80424345]
[0.03063765],[0.00197705],[0.526919]
[0.07557205],[0.00998004],[0.27157816]
[0.06395344],[0.00213017],[0.6881164]
[0.02222555],[7.340366e-05],[0.776703]
[0.03500268],[0.00093639],[0.7368437]
[0.02012441],[0.00053105],[0.7708557]
[0.03656932],[0.00245892],[0.7331034]
[0.02456696],[0.00129863],[0.75023144]
[0.20366722],[0.00233287],[0.5273245]
[0.02416526],[0.00045611],[0.7663477]
[0.02556737],[0.00227044],[0.763618]
[0.01885583],[0.00192214],[0.77977073]
[0.02090493],[0.00046724],[0.7682468]
[0.07728079],[0.00824739],[0.2822081]
[0.02042612],[0.0022602],[0.77321845]
[0.03628875],[0.00070891],[0.7206942]
[0.03301768],[0.00082974],[0.73401105]
[0.02298957],[0.00133923],[0.7685563]
[0.01488023],[0.0011627],[0.8041903]
[0.02109829],[0.00037877],[0.78067267]
[0.0328481],[0.00343454],[0.67830265]
[0.01470812],[0.04604871],[0.26646948]
[0.03047914],[0.00033066],[0.75911444]
[0.01290081],[0.00250096],[0.1961716]
[0.01450571],[0.0008011],[0.79475176]
[0.02770564],[0.00030168],[0.76170295]
[0.02023813],[0.00271733],[0.7643529]
[0.02427115],[0.00674778],[0.5196477]
[0.06674462],[0.00614094],[0.22395387]
[0.05878507],[0.00053286],[0.6899008]
[0.02341297],[0.00017445],[0.7633383]
[0.02826641],[0.00031175],[0.7579041]
[0.01912148],[0.00122112],[0.78566515]
[0.02086166],[0.00049022],[0.7766385]
[0.02356218],[0.00086405],[0.7662503]
[0.17683879],[0.00174529],[0.5076786]
[0.02913576],[0.0006966],[0.7540916]
[0.0399529],[0.00195567],[0.72252214]
[0.01241326],[0.00084557],[0.8011702]
[0.01754305],[0.00182829],[0.7847333]
[0.05744686],[0.00726509],[0.21616927]
[0.01130102],[0.00081727],[0.8199576]
[0.03755322],[0.00037272],[0.72067386]
[0.03594263],[0.00085451],[0.7519534]
[0.01749805],[0.00144426],[0.77659774]
[0.02398391],[0.00035283],[0.7568079]
[0.02982699],[0.00115208],[0.7577096]
