[0.01830176],[0.0041451],[0.52146983]
[0.02689444],[0.00867079],[0.48898464]
[0.02775561],[0.00321114],[0.68582565]
[0.0267759],[0.00107265],[0.74719554]
[0.0304038],[0.00122827],[0.74671143]
[0.02689548],[0.00021747],[0.75878155]
[0.08118195],[0.01122281],[0.5979941]
[0.01645833],[0.00150069],[0.78969336]
[0.02433002],[0.00168844],[0.750072]
[0.05275653],[0.00332921],[0.22355595]
[0.0240447],[0.00164986],[0.7721053]
[0.03413382],[0.00428289],[0.2035691]
[0.09777392],[0.00713558],[0.43039972]
[0.03294207],[0.00120865],[0.73270404]
[0.01905429],[0.00172483],[0.7799017]
[0.01519232],[0.00138916],[0.18162009]
[0.0341466],[0.00134567],[0.7399513]
