[0.02732276],[0.0149735],[0.30064303]
[0.02465882],[0.00486039],[0.5488598]
[0.01058233],[0.00719774],[0.13623455]
[0.016937],[0.00099089],[0.7914351]
[0.02651048],[0.00443917],[0.2885344]
[0.02936642],[0.0008779],[0.65280545]
[0.01724303],[0.00112278],[0.7678696]
[0.02148728],[0.0029587],[0.37169662]
[0.11069819],[0.00187874],[0.61009073]
[0.02216526],[0.0005867],[0.7628137]
[0.01292213],[0.00117202],[0.81477624]
[0.01462928],[0.00029567],[0.8078462]
[0.0198816],[0.00185773],[0.7806402]
[0.04171102],[0.00145519],[0.722616]
[0.02072047],[0.00074936],[0.7690963]
[0.03123248],[0.00217327],[0.74896663]
[0.02241534],[0.0022838],[0.7656376]
[0.11659617],[0.02399746],[0.42854238]
[0.02172457],[0.00075538],[0.7667123]
[0.02515211],[0.0013914],[0.7541634]
[0.01855741],[0.00099884],[0.76681757]
[0.07018218],[0.00087555],[0.36713845]
[0.02338201],[0.00330363],[0.6221906]
[0.01555894],[0.00089206],[0.17557345]
[0.02366508],[0.00675384],[0.13619508]
[0.02137562],[0.00159281],[0.77497655]
[0.02737083],[0.01093075],[0.2207743]
[0.03832949],[0.00079077],[0.7283996]
[0.04302881],[0.00052579],[0.71835244]
