[0.00969341],[0.00891088],[0.15833867]
[0.05479859],[0.0043278],[0.54941976]
[0.03625446],[0.00114205],[0.2786533]
[0.01779757],[0.00519669],[0.2030148]
[0.05428238],[0.00150892],[0.5555119]
[0.09400574],[0.01707898],[0.5673774]
[0.15571803],[0.0005404],[0.4256188]
[0.02798847],[0.00088614],[0.5612611]
[0.02813403],[0.00165403],[0.7566227]
[0.02764707],[0.00039655],[0.7548513]
[0.02615112],[0.0009897],[0.75016433]
[0.04030849],[0.00124543],[0.72888184]
[0.08925938],[0.00140134],[0.41381606]
[0.03420431],[0.019805],[0.5091242]
[0.0208839],[0.00459282],[0.24910264]
[0.02468416],[0.0069498],[0.38476533]
[0.06039678],[0.00504583],[0.23729312]
[0.01990977],[0.00106889],[0.78315765]
[0.09087311],[0.00609954],[0.6067717]
[0.16614938],[0.01493354],[0.46118218]
[0.02812957],[0.00078532],[0.75772333]
[0.01078969],[0.00102442],[0.8121358]
[0.04999153],[0.00371889],[0.6999999]
[0.09682198],[0.03162716],[0.46236467]
[0.12936479],[0.00307607],[0.46614528]
[0.06276571],[0.00098739],[0.69118404]
[0.12045553],[0.00946004],[0.3845567]
[0.01690353],[0.00425176],[0.79041326]
[0.12076297],[0.01180652],[0.3805632]
[0.03221916],[0.00141037],[0.7419065]
[0.02046527],[0.00062483],[0.78131515]
[0.01430943],[0.00821066],[0.24189849]
[0.0140468],[0.00063088],[0.8026582]
[0.0230568],[0.00015185],[0.7741929]
[0.14683563],[0.00405585],[0.3782998]
[0.01292953],[0.00146475],[0.8017744]
[0.03579424],[0.00039902],[0.7340169]
[0.01873935],[0.00210637],[0.7828084]
[0.01276796],[0.00015507],[0.796606]
[0.01812547],[0.00021938],[0.78378946]
[0.03594791],[0.00077268],[0.74444926]
[0.02097343],[0.00124672],[0.7736479]
[0.11922824],[0.0256159],[0.33476686]
[0.06551043],[0.00209864],[0.26923332]
[0.09364005],[0.00508647],[0.40332723]
[0.06879959],[0.00287768],[0.27722874]
[0.03098381],[0.00119563],[0.73704255]
[0.02124865],[0.00184101],[0.77153057]
[0.02296716],[0.00046986],[0.7697546]
[0.02530711],[0.00109171],[0.7606818]
[0.03578728],[0.00244233],[0.23787887]
[0.08564174],[0.00102569],[0.30532864]
[0.02537236],[0.00059653],[0.7597214]
[0.02327462],[0.00151952],[0.7651969]
[0.02027108],[0.00156952],[0.7804713]
[0.0248387],[0.0009137],[0.7470821]
[0.0164517],[0.00478591],[0.1992901]
