[0.02102046],[0.00210023],[0.76806414]
[0.02388086],[0.00169834],[0.22758313]
[0.01414909],[0.00363497],[0.20625949]
[0.0168104],[0.00259977],[0.29081362]
[0.02034323],[0.00056871],[0.7744671]
[0.019189],[0.00054635],[0.7825612]
[0.02388182],[0.00194328],[0.76848364]
[0.01784103],[0.00041777],[0.78521186]
[0.01806619],[0.00225116],[0.7845832]
[0.0224061],[0.00163394],[0.76469505]
[0.01313136],[0.0008696],[0.8126968]
[0.01513188],[0.00049413],[0.79095614]
[0.0113967],[0.00527343],[0.1210469]
[0.01352151],[0.00328772],[0.81107026]
[0.02495434],[0.00205815],[0.10059174]
[0.02610323],[0.00131525],[0.7595473]
