[0.00938589],[0.00255092],[0.11889763]
[0.01064513],[0.00304013],[0.15737796]
[0.01423073],[0.00106803],[0.17085974]
[0.02518459],[0.00638043],[0.6232541]
[0.01657643],[0.00179496],[0.19146642]
[0.0279117],[0.00664877],[0.31672844]
[0.01894351],[0.00323033],[0.7766002]
[0.02951398],[0.00361905],[0.7427084]
[0.01253393],[0.00234548],[0.81008756]
[0.00999891],[0.00255965],[0.13530819]
[0.01649264],[0.00908122],[0.29480484]
[0.06864341],[0.00221811],[0.2996266]
[0.03238438],[0.00074344],[0.75449693]
[0.02208619],[0.00072096],[0.76520866]
[0.01950237],[0.00305644],[0.6527053]
[0.03661153],[0.00255866],[0.7285479]
[0.03106979],[0.00013492],[0.74739206]
[0.01446498],[0.00098088],[0.79399824]
[0.02800949],[0.0008648],[0.7575865]
[0.04874741],[0.00596569],[0.24080524]
[0.04880934],[0.00444557],[0.26237002]
[0.04744599],[0.00166136],[0.23762691]
[0.04293095],[0.0098709],[0.5810875]
[0.07939232],[0.01151111],[0.5095585]
[0.04082363],[0.00304859],[0.25033996]
[0.06938915],[0.00248828],[0.6494393]
[0.02125837],[0.0018692],[0.77736825]
[0.03798186],[0.00168607],[0.54446524]
[0.02368404],[0.00256765],[0.76477253]
[0.00744228],[0.00046529],[0.12731427]
[0.02731305],[0.00061767],[0.75215816]
