[0.01699692],[0.0110255],[0.3708051]
[0.02370458],[0.0001974],[0.7755916]
[0.01271642],[0.00770002],[0.17668739]
[0.02389089],[0.04355772],[0.35808387]
[0.02124703],[0.00387305],[0.28604084]
[0.01464246],[0.00158206],[0.79484284]
[0.01225354],[0.001385],[0.8069971]
[0.06298815],[0.00084855],[0.5721121]
[0.01601578],[0.00209991],[0.7976991]
[0.01956144],[0.03991923],[0.32087597]
[0.05047495],[0.00368244],[0.22837238]
[0.01981283],[0.00259559],[0.38715968]
[0.03153684],[0.00027986],[0.7480523]
[0.01740664],[0.00953013],[0.22440796]
[0.02321411],[0.034126],[0.3346408]
[0.01623707],[0.00258196],[0.24430104]
[0.0142481],[0.00052183],[0.8006693]
[0.02407593],[0.00136779],[0.7644328]
[0.04147636],[0.00086885],[0.7027685]
[0.02264236],[0.00082184],[0.7604254]
[0.02135876],[0.0021012],[0.29752976]
[0.04383401],[0.01710782],[0.17506894]
[0.03038026],[0.02295592],[0.475693]
[0.02639997],[0.00034822],[0.7650499]
[0.01791518],[0.05171936],[0.330715]
[0.02074364],[0.00415603],[0.2856893]
[0.01870244],[0.00089448],[0.23957166]
[0.0186375],[0.00163144],[0.7778805]
[0.02626228],[0.00135616],[0.7495667]
[0.03517524],[0.0027897],[0.7095069]
[0.01410216],[0.00037829],[0.7952733]
[0.02141361],[0.03826004],[0.3415427]
[0.03574234],[0.00429617],[0.14699528]
