[0.01900714],[0.0016692],[0.78425634]
[0.03813728],[0.00102784],[0.73931986]
[0.04212704],[0.00039956],[0.7193901]
[0.01873174],[0.00023214],[0.78460443]
[0.01250953],[0.00142928],[0.81053334]
[0.01860056],[0.0001646],[0.78587675]
[0.04427041],[0.00095609],[0.4529902]
[0.01555494],[0.00126249],[0.7926559]
[0.12857977],[0.00268203],[0.5976645]
[0.03042623],[0.00809735],[0.6469065]
[0.00828685],[0.00089044],[0.82575834]
[0.01138999],[0.00249001],[0.80205345]
[0.00658505],[0.00078032],[0.84928215]
[0.00587941],[0.0021883],[0.85272086]
[0.02633768],[0.00110502],[0.747882]
[0.01996775],[0.00111093],[0.7841869]
[0.01647492],[0.00061737],[0.7786512]
[0.01753549],[0.00050961],[0.7908852]
[0.02217359],[0.00023871],[0.7714125]
[0.02021305],[0.00169084],[0.770577]
[0.02958885],[0.00126091],[0.74415153]
[0.02585917],[0.00127838],[0.7565001]
[0.03099822],[0.0028976],[0.73929954]
[0.01472381],[0.00216128],[0.79745585]
[0.0189949],[0.00187402],[0.794407]
[0.07649579],[0.00326152],[0.40014276]
[0.03198625],[0.00019668],[0.74790305]
[0.01302501],[0.00123252],[0.7967044]
[0.04697476],[0.00399318],[0.23099037]
[0.06321838],[0.00088253],[0.66963995]
[0.01503558],[0.00176608],[0.80347776]
[0.0562907],[0.00266629],[0.20068279]
[0.01420996],[0.0010506],[0.7976227]
[0.02555976],[0.00453071],[0.25817344]
[0.01470355],[0.00169342],[0.18552548]
[0.02275195],[0.00276878],[0.76794446]
