[0.02186072],[0.0030899],[0.7059388]
[0.01695911],[9.911758e-05],[0.7882888]
[0.02165818],[0.00147739],[0.7690397]
[0.01644827],[0.00115141],[0.7812338]
[0.04268505],[0.00265559],[0.70866174]
[0.01948309],[0.00256879],[0.6707637]
[0.05592587],[0.00030728],[0.69923276]
[0.0692691],[0.00199141],[0.6857568]
[0.01766652],[0.00066034],[0.78959805]
[0.12609532],[0.00199957],[0.42742005]
[0.02024967],[0.00339998],[0.40259695]
[0.01755249],[0.00067495],[0.7913329]
[0.03206196],[0.00413603],[0.25644088]
[0.01135697],[0.00088591],[0.81306016]
[0.07239431],[0.00108821],[0.66398454]
[0.01976121],[0.00221542],[0.7721312]
[0.01566171],[0.00077682],[0.7774292]
[0.01559224],[0.00027664],[0.7795516]
[0.01685281],[0.00206741],[0.7820705]
[0.0137868],[0.00772542],[0.7928686]
[0.02087412],[0.00056186],[0.76126754]
[0.02122309],[0.00189599],[0.76675975]
[0.02443814],[0.0039222],[0.7640976]
[0.0982939],[0.00254577],[0.5988746]
[0.03845088],[0.00073027],[0.720444]
[0.03214147],[0.00076626],[0.7349852]
[0.0883229],[0.00504804],[0.28759292]
[0.01400005],[0.00102299],[0.78997666]
[0.02741632],[0.00029572],[0.75655293]
[0.02592584],[0.00209805],[0.61991966]
[0.01405014],[0.00095558],[0.8032368]
[0.02698485],[0.00072484],[0.7525016]
[0.02365041],[0.0006683],[0.76787055]
[0.02142583],[0.00033663],[0.7652599]
[0.04089198],[0.00230227],[0.1659678]
[0.03423886],[0.0018306],[0.7423971]
[0.02718754],[0.00150666],[0.7566958]
[0.02838953],[0.00147928],[0.7525469]
[0.01743198],[0.00137984],[0.7807454]
[0.02021231],[0.00062253],[0.77637166]
[0.01082333],[0.00186916],[0.82124835]
[0.05088452],[0.00653594],[0.27900702]
[0.08055059],[0.00344803],[0.46998206]
[0.0672447],[0.00414148],[0.34386623]
