[0.0269958],[0.00748317],[0.41734576]
[0.01780701],[0.00051415],[0.7828008]
[0.07042299],[0.00139505],[0.33181828]
[0.03430002],[0.00050079],[0.68525046]
[0.01812078],[0.00273931],[0.787766]
[0.02341291],[0.00485363],[0.2587051]
[0.02775189],[0.00765159],[0.2926128]
[0.02066417],[0.00136611],[0.2061528]
[0.01450068],[0.00132303],[0.7986151]
[0.01042156],[0.00120748],[0.14647382]
[0.03267993],[0.00240339],[0.7475487]
[0.02153914],[0.00040188],[0.7788127]
[0.02070216],[0.00310791],[0.19343193]
[0.0219948],[0.00242021],[0.7737056]
[0.02173393],[0.00108894],[0.23978753]
[0.01463161],[0.00582798],[0.17739055]
[0.08843575],[0.00157574],[0.4195811]
[0.03387029],[0.00071114],[0.747618]
[0.15267938],[0.00375192],[0.53040844]
[0.01225704],[0.00411387],[0.1936803]
[0.11403459],[0.00083227],[0.6201546]
[0.16346471],[0.0023344],[0.5008496]
[0.02039024],[0.00043338],[0.7751091]
[0.02726539],[0.00042021],[0.75253063]
[0.01758414],[0.00046549],[0.793485]
[0.02028629],[0.00128739],[0.79190075]
[0.02590461],[0.00089928],[0.76454186]
[0.14737293],[0.00240517],[0.50787455]
[0.02660745],[0.00310172],[0.7424787]
[0.01833558],[0.00112614],[0.32361478]
[0.10852499],[0.00726715],[0.4995781]
[0.03021671],[0.00058203],[0.7410839]
[0.02426349],[0.00259036],[0.72354144]
[0.02086521],[0.00039346],[0.7794304]
[0.03501578],[0.00134479],[0.72788733]
[0.01701077],[0.00073548],[0.79449254]
[0.01524222],[0.00176496],[0.7893555]
[0.02202777],[0.00081992],[0.78032935]
[0.09694014],[0.00509411],[0.44494468]
[0.0273158],[0.0006616],[0.765592]
[0.03320294],[0.00212021],[0.5215353]
[0.02305838],[0.00049033],[0.7662379]
[0.0189381],[0.00061538],[0.78488505]
[0.04428498],[0.00034883],[0.7180775]
[0.02574275],[0.00141381],[0.26436993]
[0.01820695],[0.00053803],[0.2023037]
[0.01957778],[0.00046507],[0.77631056]
[0.08885551],[0.00029409],[0.32801053]
[0.02920743],[0.00329717],[0.21915933]
[0.09479478],[0.00071547],[0.29455855]
[0.0122723],[0.00075866],[0.81589746]
[0.03067975],[0.00663816],[0.16871138]
[0.08521561],[0.00146528],[0.6014225]
[0.02119214],[0.00019981],[0.7799562]
[0.02830906],[0.00048234],[0.7568887]
[0.03380276],[0.00280996],[0.17527542]
[0.02046401],[0.00688596],[0.2937325]
[0.03647531],[0.00344303],[0.72270167]
