[0.02945641],[0.00110523],[0.680271]
[0.01326356],[0.05551846],[0.31769842]
[0.01664075],[0.00063021],[0.78717554]
[0.02506883],[0.0010687],[0.43399554]
[0.01644885],[0.00165075],[0.7949244]
[0.02957373],[0.000235],[0.7553073]
[0.01346986],[0.00055399],[0.810627]
[0.02572599],[0.00486755],[0.49279776]
[0.05132167],[0.00028029],[0.5222715]
[0.02769188],[0.00235769],[0.7634474]
[0.02210303],[0.00119719],[0.77307343]
[0.02250254],[0.00180285],[0.36739382]
[0.02516215],[0.00185543],[0.50556755]
[0.05987045],[0.00793461],[0.61470443]
[0.01194909],[0.00585392],[0.12424745]
