[0.01583592],[0.03572057],[0.22391994]
[0.01375316],[0.00144232],[0.78973395]
[0.02169509],[0.00119325],[0.7721348]
[0.0136015],[6.586241e-05],[0.8104172]
[0.01663739],[0.00077706],[0.7826266]
[0.04908855],[0.00099045],[0.26081547]
[0.0192992],[0.00862263],[0.26577067]
[0.03046411],[0.00066877],[0.72427195]
[0.01763879],[0.00272884],[0.78786993]
[0.014131],[0.00147217],[0.7999317]
[0.0184974],[0.00042715],[0.7840563]
[0.02250353],[0.00133374],[0.26764506]
[0.02220696],[0.00056344],[0.76811916]
[0.01456848],[0.00220621],[0.8011774]
[0.01947219],[0.00076155],[0.7831249]
[0.06881589],[0.00360911],[0.45732465]
[0.02159677],[0.00164869],[0.76822007]
[0.11647],[0.00938561],[0.39979112]
[0.03089532],[0.00151772],[0.73506266]
[0.02583243],[0.00063172],[0.27860504]
[0.02615531],[0.00035151],[0.76304334]
[0.03155555],[0.00130042],[0.7464846]
[0.02174019],[0.000103],[0.77301574]
[0.02728939],[0.00414397],[0.32614017]
[0.0230192],[0.00112916],[0.7657742]
[0.01889783],[0.00216728],[0.77815783]
[0.01910844],[0.00098146],[0.7792939]
[0.0535824],[0.0024764],[0.69119245]
[0.0237194],[0.00114462],[0.7622492]
[0.02324709],[0.0003709],[0.7766516]
[0.01734939],[0.00062893],[0.7913692]
[0.05603172],[0.00063134],[0.6656731]
[0.08133506],[0.00752638],[0.57231563]
[0.0386418],[0.00202173],[0.7095565]
[0.12530304],[0.0035796],[0.59192675]
[0.01839228],[0.00084138],[0.78766704]
[0.05848394],[0.00446911],[0.6447448]
[0.10100318],[0.00429301],[0.34088147]
[0.01374225],[0.00112792],[0.80115986]
[0.02103022],[0.00103204],[0.7756028]
[0.09631766],[0.00146809],[0.33736587]
[0.02579072],[0.00089478],[0.7556265]
[0.02067252],[0.00055548],[0.78266275]
[0.02824926],[0.00075824],[0.7611785]
[0.00926485],[0.00185036],[0.12511687]
[0.02246851],[0.0007136],[0.7630296]
