[0.01948125],[0.0007791],[0.7846765]
[0.01044568],[0.00264165],[0.8129579]
[0.05127827],[0.00284798],[0.7152971]
[0.01480944],[0.00144489],[0.80117834]
[0.02176292],[0.00025265],[0.76720107]
[0.03052738],[0.01469189],[0.48905984]
[0.01658466],[0.00960916],[0.63465965]
[0.02511162],[0.00168943],[0.76522815]
[0.1273769],[0.0011649],[0.59298956]
[0.02344545],[0.00273906],[0.15360613]
[0.010991],[0.0005306],[0.81575364]
[0.01896777],[0.00088365],[0.78392327]
[0.07502105],[0.00338032],[0.6537777]
[0.02617922],[0.00046733],[0.7549259]
[0.01996909],[0.00029983],[0.7724289]
[0.02133671],[0.00325199],[0.77476436]
[0.01857832],[0.00077235],[0.7890357]
[0.01837046],[0.00083818],[0.77188116]
[0.01222571],[0.00069361],[0.8123285]
[0.17160125],[0.00838055],[0.52148837]
[0.10241964],[0.00689451],[0.29710713]
[0.06176714],[0.00142252],[0.6723126]
[0.00757024],[0.00265681],[0.8221518]
[0.00844684],[0.00454746],[0.8287603]
[0.12863985],[0.00330503],[0.45170516]
[0.02393817],[0.00080272],[0.77450496]
[0.01430943],[0.00139385],[0.7915799]
[0.03589331],[0.00105772],[0.72926915]
[0.02719756],[0.00104349],[0.7654563]
[0.01693863],[0.00145559],[0.77986485]
[0.01447125],[0.00246015],[0.81248903]
[0.09350962],[0.00405947],[0.44291306]
[0.0222641],[0.00055701],[0.7689583]
[0.06922731],[0.00128807],[0.2687716]
[0.14405899],[0.00627826],[0.36371464]
[0.00717828],[0.00738029],[0.84213847]
[0.01241873],[0.00116825],[0.80529654]
[0.0360143],[0.00227793],[0.7275119]
[0.02528173],[0.00149395],[0.7653359]
[0.01593535],[0.00118576],[0.78253967]
[0.01453324],[0.0076305],[0.78881574]
[0.02379091],[0.00123145],[0.7599541]
[0.01741482],[0.00505522],[0.7371976]
[0.03070111],[0.00313252],[0.18978791]
[0.04050603],[0.04521166],[0.30546266]
[0.03309057],[0.00033226],[0.73225987]
[0.00546563],[0.00045148],[0.84977615]
[0.02266843],[0.00114319],[0.2778939]
[0.00788845],[0.00328128],[0.84919703]
