[0.09460717],[0.0055611],[0.6276491]
[0.06439684],[0.00067302],[0.6669042]
[0.01929498],[0.00148659],[0.4170131]
[0.02215188],[0.00127196],[0.7655078]
[0.01875756],[0.00034964],[0.7800217]
[0.01448184],[0.00291216],[0.7960308]
[0.02397437],[7.576081e-05],[0.76465213]
[0.02071931],[0.00135415],[0.7758719]
[0.0250521],[0.00102786],[0.764579]
[0.01294121],[0.0021059],[0.8069208]
[0.01537366],[0.00129402],[0.7923367]
[0.02475119],[0.00194736],[0.75778455]
[0.03132225],[0.00080423],[0.7501339]
[0.02519193],[5.7857767e-05],[0.7656282]
[0.06460115],[0.00530431],[0.24630499]
[0.01541624],[0.00177368],[0.79831]
[0.01931307],[0.00151764],[0.7782731]
[0.02462372],[0.00302208],[0.62410146]
[0.01241528],[0.00314078],[0.20159808]
[0.02820336],[0.00025583],[0.7538346]
[0.02138137],[0.01626878],[0.54006296]
