[0.01028675],[0.00475882],[0.16255417]
[0.01875813],[0.00648271],[0.19976425]
[0.10860323],[0.00164566],[0.38512635]
[0.01318343],[0.00791135],[0.18287991]
[0.01374361],[0.0029996],[0.18492773]
[0.00741323],[0.00142261],[0.11440215]
[0.00866055],[0.00740463],[0.11498068]
[0.02095753],[0.00199485],[0.24585776]
[0.025317],[0.00546302],[0.6124655]
[0.0080191],[0.00283762],[0.11530013]
[0.03565842],[0.00095417],[0.7361955]
[0.02436166],[0.00147281],[0.77176136]
[0.10885279],[0.02337034],[0.3754844]
[0.03783923],[0.00283301],[0.7319701]
[0.02289801],[0.00032031],[0.76546633]
[0.00673383],[0.00084615],[0.11271523]
[0.07382418],[0.01741519],[0.32745206]
[0.05330103],[0.00294015],[0.6676391]
[0.03977121],[0.00204475],[0.72034377]
[0.04186313],[0.00111369],[0.21656707]
[0.05026319],[0.00094897],[0.6812118]
[0.01816765],[0.0077467],[0.16220643]
[0.08830039],[0.04425705],[0.3448666]
[0.12503351],[0.00335392],[0.3204954]
[0.02702117],[0.00151162],[0.28532138]
[0.09467836],[0.00124636],[0.44465336]
[0.02307431],[0.00022944],[0.76843166]
[0.02655653],[0.00013008],[0.75130254]
[0.01647529],[0.00070926],[0.7825801]
[0.01037596],[0.00382031],[0.10968775]
[0.02838876],[0.00577926],[0.5865303]
