[0.00632239],[0.00658747],[0.09704255]
[0.02263497],[0.0011156],[0.38919035]
[0.02454427],[0.00726372],[0.43683928]
[0.00860503],[0.00358616],[0.12195785]
[0.00873539],[0.00074161],[0.12864964]
[0.04002844],[0.00107157],[0.7227804]
[0.03717115],[0.00262467],[0.7271199]
[0.02635838],[0.00058705],[0.7554137]
[0.02470975],[4.6384557e-05],[0.7688038]
[0.01539412],[0.00049745],[0.7878898]
[0.02697516],[0.00104019],[0.7714504]
[0.01384235],[0.00295359],[0.17632161]
[0.00888312],[0.00566004],[0.11724861]
