[0.02641289],[0.00182587],[0.656408]
[0.02469053],[0.00845025],[0.62909997]
[0.04591358],[0.00040049],[0.7218181]
[0.03262292],[0.00042188],[0.75723135]
[0.02732144],[0.00281979],[0.41605312]
[0.01810195],[0.00116219],[0.7916121]
[0.02958916],[0.0019438],[0.75698197]
[0.0345268],[0.00122615],[0.68544436]
[0.15629986],[0.01000031],[0.48478532]
[0.01460339],[0.00335613],[0.7915657]
[0.02268447],[0.00020941],[0.771921]
[0.12934458],[0.00579453],[0.4196685]
[0.00681703],[0.00180458],[0.8483098]
[0.02171958],[0.00692786],[0.26181605]
[0.01829656],[0.0106406],[0.17229874]
[0.0065823],[0.00126805],[0.05072982]
[0.07643572],[0.00356782],[0.6579025]
[0.02402849],[0.00131238],[0.7490492]
[0.03057787],[0.00080246],[0.747435]
[0.04239357],[0.00342718],[0.20356707]
[0.02803463],[0.00291673],[0.7511509]
[0.0128027],[0.00177052],[0.7998415]
[0.10708521],[0.010528],[0.48901272]
[0.08740848],[0.00104673],[0.6212672]
[0.0346535],[0.00114407],[0.74336255]
[0.02700679],[0.001199],[0.60587233]
[0.1383548],[0.01556755],[0.406427]
[0.01502822],[0.00121227],[0.12502222]
[0.02986433],[0.0005227],[0.7544774]
[0.05327334],[0.00141352],[0.7009969]
[0.10714798],[0.01037183],[0.33983296]
[0.01010311],[0.00313459],[0.8188]
[0.09235281],[0.00882731],[0.61730134]
[0.04295336],[0.00133576],[0.6476373]
[0.00913757],[0.00302782],[0.8252549]
[0.01351604],[0.00436721],[0.80092174]
[0.02800111],[0.00073212],[0.7501453]
[0.03133523],[0.00075582],[0.7489576]
[0.03445425],[0.00237511],[0.7456945]
[0.04215804],[0.00507856],[0.23040609]
[0.02045161],[0.05747706],[0.3223113]
[0.06868257],[0.00334604],[0.25581524]
[0.03440604],[0.00131805],[0.6972097]
[0.02071081],[0.00514204],[0.26648176]
[0.02740813],[0.00357183],[0.16779831]
[0.03424191],[0.00047697],[0.7399282]
[0.01448928],[0.00184584],[0.7891444]
[0.03309217],[0.00050899],[0.7482707]
[0.02759323],[0.00100522],[0.7238634]
[0.02472646],[0.00246323],[0.50690377]
[0.0204954],[0.00101371],[0.69510585]
[0.02609164],[0.00237558],[0.73932993]
