[0.03185258],[0.00242393],[0.48845664]
[0.00639917],[0.00299096],[0.84468234]
[0.01541442],[0.00835716],[0.80509627]
[0.01227822],[0.00078619],[0.80058557]
[0.01966486],[0.00127046],[0.779583]
[0.02190653],[0.00045188],[0.7652154]
[0.02319768],[0.00182609],[0.7626456]
[0.15357234],[0.00575169],[0.5375463]
[0.01937454],[0.00242671],[0.7822267]
[0.01214981],[0.00257039],[0.80295724]
[0.02503235],[0.00232268],[0.75548553]
[0.01354683],[0.0021797],[0.799566]
[0.01478665],[0.00036922],[0.79201406]
[0.02864628],[0.00076995],[0.7581307]
[0.18895108],[0.00759135],[0.48938268]
[0.02061681],[0.00373848],[0.2607754]
[0.01585461],[0.0008402],[0.7759453]
[0.0254788],[0.00589235],[0.70062745]
[0.02085306],[0.00069251],[0.76842344]
[0.02225744],[0.001427],[0.77781737]
[0.02619961],[0.00012296],[0.7645776]
[0.02004739],[0.00068514],[0.78251344]
[0.0239188],[0.00086674],[0.77448285]
[0.03480602],[0.00595155],[0.74390924]
[0.02082543],[0.00388458],[0.7670399]
[0.16044408],[0.00765882],[0.40424624]
[0.02960229],[0.00030064],[0.7549533]
[0.01944566],[0.00094431],[0.7751945]
[0.01194848],[0.00229335],[0.8035577]
[0.12087668],[0.00292662],[0.5910807]
[0.13907737],[0.00729241],[0.37206048]
[0.05579764],[0.01780805],[0.3598753]
[0.03663881],[0.00094946],[0.7331377]
[0.04607444],[0.0020386],[0.7056938]
[0.01511659],[0.00109347],[0.7964212]
[0.0124086],[0.0019354],[0.80230504]
[0.01639745],[0.00071571],[0.7929193]
[0.08691026],[0.00346716],[0.24868155]
[0.01567971],[0.00174837],[0.7811322]
[0.02952284],[0.00175078],[0.15551646]
[0.0336415],[0.00056824],[0.73842776]
[0.02657832],[0.00075203],[0.7557545]
