[0.02365366],[0.00481496],[0.72514176]
[0.02183293],[0.00168159],[0.75939864]
[0.0320553],[0.00109948],[0.7419171]
[0.02054804],[0.01984196],[0.22300558]
[0.02130193],[0.0022801],[0.1705531]
[0.03011638],[0.00051517],[0.74890554]
[0.01901325],[0.00098814],[0.21096542]
[0.01868438],[0.00094177],[0.78224933]
[0.03045933],[0.00509108],[0.65531504]
[0.02752466],[0.00441762],[0.3939622]
[0.02332104],[0.00274798],[0.7596946]
[0.02242777],[0.00128471],[0.30442786]
[0.01622772],[0.0013454],[0.7930572]
[0.02750279],[0.00168186],[0.7457339]
[0.02175548],[0.00067798],[0.779827]
[0.02057135],[0.00125906],[0.77876985]
[0.04972627],[0.00151316],[0.6992704]
[0.03212503],[0.00096203],[0.74323946]
[0.03498393],[0.00213444],[0.74975747]
[0.02599134],[0.00086402],[0.75053674]
[0.02188432],[0.00180868],[0.77080506]
[0.03234466],[0.00079327],[0.7365501]
[0.02117554],[0.00122551],[0.77412635]
[0.03601506],[0.00035177],[0.7345067]
[0.01520628],[0.00140406],[0.7931419]
[0.01424583],[0.00117899],[0.80159026]
[0.08902828],[0.01281263],[0.36002612]
[0.02990765],[0.00141789],[0.75028574]
[0.0333761],[0.0012777],[0.74608153]
[0.02752786],[0.00229777],[0.7488926]
[0.03154342],[0.00181726],[0.56879365]
[0.02320822],[0.0013393],[0.7661386]
[0.12638626],[0.00683008],[0.45540532]
[0.0776023],[0.00571602],[0.6634058]
[0.05420594],[0.0034213],[0.27454773]
[0.05339633],[0.01658631],[0.40150294]
[0.02736049],[0.00061138],[0.7578389]
[0.02459964],[0.00073828],[0.76120776]
[0.0219796],[0.00185767],[0.77895916]
[0.02369904],[0.00230803],[0.7707197]
[0.04250532],[0.00313443],[0.159561]
[0.0303051],[0.01464597],[0.53264993]
[0.06194009],[0.00466161],[0.28306416]
[0.01188123],[0.00193216],[0.14821474]
[0.01410707],[0.00116499],[0.79612905]
[0.02331245],[0.00827986],[0.09700324]
[0.03280311],[0.00489106],[0.68831927]
[0.02032732],[0.00235228],[0.11772271]
[0.02782213],[0.00092892],[0.7554684]
