[0.10714995],[0.01158706],[0.4961452]
[0.01961146],[0.00055173],[0.7689923]
[0.01556635],[0.00119412],[0.79184425]
[0.01511249],[0.00028896],[0.79385054]
[0.01344685],[0.00072474],[0.810935]
[0.0479297],[7.757424e-05],[0.7220502]
[0.01830181],[0.00139709],[0.78578156]
[0.01524799],[0.00201237],[0.7908763]
[0.02375843],[0.00036887],[0.76975775]
[0.18432124],[0.00129088],[0.53677475]
[0.01543952],[0.00037178],[0.79996234]
[0.0157201],[0.00033133],[0.7877443]
[0.01705544],[0.00177981],[0.7889228]
[0.01641857],[0.00246815],[0.7907442]
[0.03707213],[0.00184543],[0.73590267]
[0.11956333],[0.00691837],[0.531839]
[0.0204954],[0.00181627],[0.77277434]
[0.00912612],[0.00082079],[0.8209835]
[0.02229442],[0.00200085],[0.7815334]
[0.01200245],[0.00094026],[0.8140734]
[0.0110201],[0.001286],[0.8180214]
[0.02782867],[0.00133023],[0.7527503]
[0.03809462],[0.00060725],[0.7309406]
[0.01632103],[0.0035831],[0.794334]
[0.0121402],[0.00186686],[0.8099993]
[0.01821479],[0.00257044],[0.7860323]
[0.08002391],[0.00183811],[0.672639]
[0.10549478],[0.00692503],[0.33474433]
[0.02941294],[0.00156034],[0.7544571]
[0.02212221],[0.00070235],[0.78089726]
[0.01547867],[0.00060281],[0.7911455]
[0.02407758],[0.00051189],[0.7595583]
[0.01455974],[0.00093686],[0.7927764]
[0.01968526],[0.00085268],[0.77621096]
[0.03528523],[0.00010401],[0.73637104]
[0.03574768],[0.00017719],[0.74562776]
[0.02736732],[0.00110188],[0.74606687]
[0.02307594],[0.00125733],[0.7728966]
[0.09890267],[0.00673857],[0.34120476]
[0.01769586],[0.00151513],[0.78512436]
[0.0948909],[0.00509575],[0.3348019]
[0.10760368],[0.00019738],[0.5665526]
[0.02388875],[0.00102735],[0.7615512]
[0.01668226],[0.0004469],[0.7935537]
