[0.03124108],[0.00314977],[0.67601824]
[0.01515112],[0.00357728],[0.7949649]
[0.01602664],[0.00094138],[0.79353356]
[0.01665261],[0.03954742],[0.2881052]
[0.03083162],[0.00121151],[0.75495845]
[0.03162426],[0.00561958],[0.5888387]
[0.01742107],[0.00129762],[0.7890808]
[0.01293863],[0.00411869],[0.79512155]
[0.14937542],[0.00182819],[0.4776062]
[0.01912439],[0.00179056],[0.78640413]
[0.01327395],[0.00027387],[0.80210006]
[0.02218199],[0.01185224],[0.5279275]
[0.02037483],[0.00160104],[0.7717058]
[0.15653294],[0.00232229],[0.5018467]
[0.0181264],[0.00362039],[0.16166107]
[0.03374871],[0.00044087],[0.73702407]
[0.06949746],[0.00248766],[0.6538539]
[0.03977308],[0.0081669],[0.2992369]
[0.02273194],[0.00161482],[0.77022284]
[0.06425894],[0.01194633],[0.31777242]
[0.02796534],[0.00058824],[0.74362427]
[0.01766625],[0.00189628],[0.7824771]
[0.02265825],[0.00088122],[0.7758503]
[0.01816515],[0.00197422],[0.7862555]
[0.01740468],[0.00183871],[0.78357995]
[0.02411091],[0.0031487],[0.76112306]
[0.09708081],[0.00279693],[0.39608386]
[0.01931845],[0.00287433],[0.7789539]
[0.0259228],[0.00173076],[0.7525394]
[0.03156073],[0.00088826],[0.73987293]
[0.03111557],[0.00049673],[0.74892503]
[0.02920062],[0.0014074],[0.75271344]
[0.13605444],[0.00374015],[0.5892289]
[0.12149748],[0.00129927],[0.6040045]
[0.09699529],[0.00823808],[0.30074307]
[0.01646093],[0.00231272],[0.80153483]
[0.03830947],[0.00795506],[0.21538258]
[0.03946109],[0.00173669],[0.22738528]
[0.07005068],[0.0142801],[0.3020052]
[0.02648181],[0.00185181],[0.75690615]
[0.02689477],[0.00116647],[0.7331761]
[0.01908254],[0.00430662],[0.72869027]
[0.01435283],[0.00084277],[0.80031174]
[0.01888311],[0.00398596],[0.7760604]
[0.01911531],[0.00167114],[0.7775198]
[0.06674597],[0.00985432],[0.29736018]
[0.01654708],[0.0038888],[0.79509735]
[0.0321437],[0.00026684],[0.5006553]
[0.01701909],[0.00149399],[0.7833639]
[0.02137235],[0.00166516],[0.7676841]
[0.07717419],[0.00660712],[0.38202262]
[0.03117673],[0.00110708],[0.75115263]
[0.0205435],[0.00079191],[0.7793199]
[0.03605646],[0.00837971],[0.16438158]
