[0.02409807],[0.00833686],[0.6989663]
[0.02085894],[0.00091254],[0.77425903]
[0.03247345],[0.00266173],[0.5518035]
[0.0225006],[0.00224592],[0.56189024]
[0.02345138],[0.0004684],[0.7701234]
[0.05665134],[0.00394151],[0.3200798]
[0.02765085],[0.00939248],[0.6483339]
[0.01224497],[0.00080845],[0.80706596]
[0.02292578],[0.00092078],[0.470268]
[0.01211145],[0.00052259],[0.80757695]
[0.01279524],[0.00099238],[0.7989758]
[0.0316053],[0.00043959],[0.7462987]
[0.02072741],[0.00150556],[0.78405523]
[0.01843079],[0.00113956],[0.7754599]
[0.03865939],[0.00154911],[0.72923386]
[0.02170973],[0.00092498],[0.7735046]
[0.01674317],[0.00073259],[0.7791626]
[0.02180547],[0.00088734],[0.7713712]
[0.0233913],[0.00184307],[0.75889164]
[0.1459388],[0.01319061],[0.4925829]
[0.02646904],[0.00166971],[0.7605916]
[0.01150349],[0.00155686],[0.8166237]
[0.14008301],[0.00564079],[0.47699943]
[0.01885654],[0.00041037],[0.7788641]
[0.01533473],[0.00221674],[0.7854073]
[0.03293351],[0.00160031],[0.73602283]
[0.01731322],[0.00051474],[0.77911854]
[0.02890094],[0.00050348],[0.7509272]
[0.02362836],[0.00056776],[0.76076776]
[0.01834648],[0.00091183],[0.7726723]
[0.08848101],[0.00092673],[0.47081238]
[0.01753099],[0.00962871],[0.18108217]
[0.01649619],[0.0023382],[0.79645145]
[0.06753438],[0.00094771],[0.6901776]
[0.01846449],[0.00039932],[0.79052866]
[0.04922034],[0.00197064],[0.28117004]
[0.0272657],[0.00102899],[0.40242428]
[0.02891862],[0.00098461],[0.75659484]
[0.03619],[0.00444238],[0.65392065]
[0.02631849],[0.00082884],[0.752694]
[0.02843273],[0.00439965],[0.08987613]
[0.04807703],[0.00071198],[0.7097837]
