[0.12109085],[0.00291247],[0.5881139]
[0.01852528],[0.00240783],[0.7751174]
[0.01071087],[0.00116826],[0.81532556]
[0.01462919],[0.00444156],[0.792136]
[0.02888612],[0.00038874],[0.7466675]
[0.03380837],[0.00343764],[0.27984422]
[0.02166856],[0.00105895],[0.7630698]
[0.01685799],[0.00034194],[0.7847334]
[0.012813],[0.00333738],[0.8026465]
[0.01158666],[0.00105835],[0.81665933]
[0.01116089],[0.00522558],[0.15676929]
[0.0261476],[0.0009822],[0.7559672]
[0.13075455],[0.0037019],[0.51813376]
[0.02444136],[0.00143086],[0.76592743]
[0.01028554],[0.00106945],[0.0876722]
[0.13187769],[0.01899204],[0.45013207]
[0.02564432],[0.00191326],[0.7465854]
[0.02829226],[0.00340897],[0.74548984]
[0.01117313],[0.00340734],[0.8121026]
[0.02348474],[0.00205606],[0.75674057]
[0.00990025],[0.00082766],[0.8282782]
[0.01011587],[0.00175007],[0.8098656]
[0.0100712],[0.00120689],[0.8153575]
[0.02604652],[0.00089827],[0.76394206]
[0.01128726],[0.0003248],[0.8078295]
[0.01342996],[0.00098859],[0.7952667]
[0.01363004],[0.0017895],[0.8020221]
[0.01016097],[0.00124286],[0.81351554]
[0.0142053],[0.00077417],[0.7914891]
[0.02006333],[0.00189132],[0.7684268]
[0.01809559],[0.00084277],[0.7845361]
[0.00810101],[0.00162583],[0.8380083]
[0.03422623],[0.00588261],[0.25124785]
[0.0304813],[0.00052808],[0.7524859]
[0.13429324],[0.00368776],[0.54970324]
[0.03090931],[0.00101989],[0.7474715]
[0.07001821],[0.00767749],[0.6524273]
[0.05614138],[0.00256706],[0.2646057]
[0.04537011],[0.03103339],[0.25175762]
[0.05081531],[0.01268037],[0.2714467]
[0.02555713],[0.00045396],[0.75955987]
[0.01573537],[0.00499308],[0.79949236]
[0.03874688],[0.0036085],[0.5070851]
[0.02544133],[0.00260965],[0.12894964]
