[0.03064154],[0.01898521],[0.4993086]
[0.01555903],[0.00171275],[0.7895471]
[0.0185326],[0.00160416],[0.7772395]
[0.01653952],[0.00150738],[0.17613739]
[0.00809138],[0.00284437],[0.08837919]
[0.02082628],[0.03908896],[0.3278718]
[0.03594556],[0.00331164],[0.53614146]
[0.0222752],[0.00634984],[0.34770975]
[0.02116723],[0.00212187],[0.3119388]
[0.02495297],[0.00203126],[0.7637434]
[0.01640725],[0.00786081],[0.25516114]
[0.02333191],[0.00222],[0.771551]
[0.01661199],[0.00198509],[0.7850709]
[0.02622357],[0.01322514],[0.53344727]
[0.01671003],[0.00062293],[0.782639]
[0.03345816],[0.00138592],[0.7359007]
[0.03067704],[0.00022834],[0.7465437]
[0.0080304],[0.00294735],[0.8229682]
[0.03551449],[0.00015171],[0.7303252]
[0.01379301],[0.00172721],[0.7978408]
[0.01973118],[0.00090125],[0.77746713]
[0.01167885],[0.00267215],[0.80324924]
[0.01603236],[0.00038841],[0.7954844]
[0.07535307],[0.00288928],[0.3884929]
[0.01827316],[0.00198584],[0.7945658]
[0.06148611],[0.00061556],[0.68392193]
[0.02041419],[0.00087252],[0.78229123]
[0.07780239],[0.00266103],[0.32862163]
[0.0106832],[0.00305505],[0.15255585]
[0.01613927],[0.00254716],[0.7851637]
