[0.0118787],[0.00278431],[0.17401782]
[0.01289907],[0.00075368],[0.22323518]
[0.01240514],[0.00279113],[0.15022685]
[0.05273883],[0.01770386],[0.315152]
[0.01583356],[0.00029154],[0.25394768]
[0.02320184],[0.00285232],[0.7742194]
[0.02240883],[0.00181176],[0.7747558]
[0.01429666],[0.00555889],[0.18603598]
[0.1516228],[0.00066587],[0.5917498]
[0.027557],[0.00100537],[0.7521225]
[0.01161278],[0.00492],[0.11558064]
[0.18303652],[0.00103631],[0.55107826]
[0.02373109],[0.06525759],[0.42116576]
[0.02492041],[0.00191511],[0.66918594]
[0.02059755],[0.0015351],[0.76975757]
[0.02323122],[0.00093339],[0.76268166]
[0.02142872],[0.00070378],[0.7765354]
[0.10062107],[0.01355668],[0.5803622]
[0.18373586],[0.0044932],[0.5288464]
[0.01061979],[0.00137664],[0.12204488]
[0.02947101],[0.00102864],[0.7551712]
[0.03787469],[0.00599185],[0.72587985]
[0.02621409],[0.00046376],[0.754431]
[0.10546988],[0.00145345],[0.62833583]
[0.02538714],[0.00055913],[0.7663132]
[0.01715134],[0.00030656],[0.792344]
[0.12645005],[0.00173101],[0.33908844]
[0.03849804],[0.00099468],[0.7386135]
[0.06764625],[0.00132492],[0.6797116]
[0.0335485],[0.00266673],[0.74381876]
[0.08375099],[0.00399149],[0.27174222]
[0.02168799],[0.00175368],[0.76852703]
[0.03183829],[0.00243123],[0.74265665]
[0.01956715],[0.00083328],[0.77881414]
[0.02049761],[0.00141922],[0.78429735]
[0.0430533],[0.00236786],[0.21666369]
[0.02699654],[0.00080211],[0.7544358]
[0.02728389],[0.00194785],[0.7572836]
[0.03395544],[0.00238194],[0.17863603]
[0.13219026],[0.00136709],[0.4251423]
[0.04693643],[0.00209573],[0.68995845]
[0.02322922],[0.00046741],[0.76777995]
[0.03352368],[0.00500173],[0.70123464]
[0.07018036],[0.00017318],[0.17721234]
[0.01667668],[0.00088553],[0.78954005]
[0.07327482],[0.00198681],[0.53866297]
[0.01983394],[0.00269555],[0.18947102]
[0.02855053],[0.00173908],[0.15432794]
[0.04423457],[0.01589835],[0.2627406]
[0.02201457],[0.01066206],[0.13410321]
[0.01858251],[0.0034902],[0.66714007]
[0.0167952],[0.00270404],[0.21833472]
[0.01095969],[0.00234908],[0.03972889]
[0.02933482],[0.00430224],[0.03440378]
[0.01787158],[0.00263886],[0.09034179]
[0.01133829],[0.00996783],[0.12901524]
[0.0108177],[0.00179253],[0.08515809]
