[0.02293911],[0.00410723],[0.3730649]
[0.01245218],[0.00211249],[0.1898134]
[0.00777125],[0.00111296],[0.09253386]
[0.02408985],[0.00152964],[0.38605532]
[0.01825157],[0.00150164],[0.23766153]
[0.02580077],[0.00041672],[0.75753796]
[0.0118196],[0.07142277],[0.26862717]
[0.11124953],[0.01522459],[0.51285636]
[0.11345509],[0.00445628],[0.31669366]
[0.03644657],[0.00038165],[0.4553085]
[0.06184676],[0.00517701],[0.57459605]
[0.00818628],[0.00186992],[0.09654607]
[0.01802096],[0.000447],[0.7799877]
[0.02818274],[0.00095389],[0.7625416]
[0.01713225],[0.00756029],[0.27986294]
[0.01926769],[0.05198475],[0.30397272]
[0.01034267],[0.00645327],[0.14964345]
[0.02255337],[0.00030426],[0.30447185]
[0.01653044],[0.00330457],[0.19564754]
[0.02041497],[0.00179239],[0.7682746]
[0.01323597],[0.0023979],[0.18573031]
[0.12944075],[0.00921544],[0.5479321]
[0.11414696],[0.03594568],[0.5166842]
[0.02438004],[0.002964],[0.5433453]
[0.06458572],[0.01166624],[0.55869275]
[0.01489549],[0.06231611],[0.2633611]
[0.03245293],[0.00125186],[0.7447333]
[0.03021128],[0.00013572],[0.7581936]
[0.01617615],[0.00392291],[0.30312485]
[0.01254767],[0.00206747],[0.16931257]
[0.00771808],[0.00701734],[0.12752782]
[0.02427603],[0.00061802],[0.35051927]
[0.03553106],[0.02419779],[0.33167332]
[0.0332406],[0.00045961],[0.74518615]
[0.01944327],[0.04860758],[0.28584567]
[0.12591982],[0.00976333],[0.49188608]
[0.11744072],[0.0103675],[0.35338503]
[0.02745683],[0.00442537],[0.5768913]
[0.07143114],[0.0085433],[0.5387621]
[0.0050382],[0.00115338],[0.07164394]
[0.02000511],[0.00201281],[0.7713142]
[0.0246814],[0.00151657],[0.75652945]
