[0.01870975],[0.00084115],[0.77484566]
[0.03483881],[0.01875497],[0.43168002]
[0.01787078],[0.00247697],[0.78365785]
[0.02356744],[0.00252799],[0.40091783]
[0.03022689],[0.00196689],[0.7511829]
[0.02697927],[0.00138053],[0.74122924]
[0.01455357],[0.00166948],[0.19056939]
[0.01498769],[0.00123172],[0.7910627]
[0.01318915],[0.00159928],[0.8022669]
[0.01149219],[0.00048515],[0.81727505]
[0.03154659],[0.00194017],[0.74083173]
[0.09261524],[0.00028037],[0.6556265]
[0.1576195],[0.00455014],[0.4089492]
[0.01714882],[0.00056113],[0.78153867]
[0.09615124],[0.01652305],[0.37565157]
[0.0192],[0.00276386],[0.20396522]
[0.01484697],[0.00336145],[0.79233]
[0.02400949],[0.00376376],[0.7510172]
[0.02560506],[0.00017277],[0.7594522]
[0.02128183],[0.00236431],[0.77569497]
[0.05379518],[0.00580346],[0.19254152]
[0.01903123],[0.00080758],[0.7792734]
[0.07852287],[0.00182535],[0.4563895]
[0.02591298],[0.00751083],[0.18088393]
[0.04784348],[0.00210862],[0.5869719]
[0.0168705],[0.00418764],[0.16291176]
[0.01818382],[0.00086103],[0.77916]
[0.01314863],[0.00111298],[0.13364075]
[0.02720887],[0.00276857],[0.25992757]
