[0.02556787],[0.0249],[0.47053328]
[0.02937165],[0.00071628],[0.73183274]
[0.02138873],[0.00357492],[0.266553]
[0.03162],[0.00695436],[0.6577441]
[0.02334952],[0.00465478],[0.7598836]
[0.04074012],[0.00134816],[0.7311837]
[0.01686465],[0.00174906],[0.19529812]
[0.0276861],[0.00136297],[0.24178508]
[0.03041285],[0.00117616],[0.7413906]
[0.03739767],[0.00049381],[0.74488235]
[0.02794979],[0.000498],[0.74671614]
[0.11023437],[0.03546229],[0.5061314]
[0.05779278],[0.0029508],[0.20560412]
[0.0763471],[0.00246015],[0.6596416]
[0.01186292],[0.05882281],[0.26734737]
[0.09177128],[0.00654982],[0.24817547]
[0.0480138],[0.02090226],[0.2225016]
[0.029538],[0.00162418],[0.7512854]
[0.04556258],[0.00166904],[0.71578425]
[0.10551368],[0.00337183],[0.4232126]
[0.01629024],[0.00188447],[0.16974196]
