[0.02682956],[0.00025623],[0.7649142]
[0.03456965],[0.0011342],[0.73561555]
[0.0194306],[0.00367453],[0.25508478]
[0.02465848],[0.00112104],[0.7751423]
[0.03195018],[0.00075831],[0.7497377]
[0.02631765],[0.0013287],[0.7502727]
[0.02440183],[0.00018209],[0.76959854]
[0.03195566],[0.00017356],[0.75252986]
[0.04080556],[0.00149637],[0.22694838]
[0.01747297],[0.00153035],[0.78768253]
[0.02751462],[0.02441742],[0.3971998]
[0.01824534],[0.00070811],[0.79142296]
[0.01442155],[0.00015536],[0.7898487]
[0.03070274],[0.00075069],[0.74022543]
[0.01998548],[0.00116912],[0.7763157]
[0.01790018],[0.00083021],[0.79787105]
[0.01001631],[0.00028823],[0.8240565]
[0.01361375],[0.00057478],[0.80108297]
[0.03217918],[0.00073118],[0.7495586]
[0.02378132],[0.00073315],[0.7651775]
[0.02965662],[0.0008221],[0.7576816]
[0.02483093],[0.00201755],[0.75455725]
[0.0210379],[0.00021909],[0.7807189]
[0.03367757],[0.00033919],[0.7458769]
[0.0204003],[0.00162431],[0.7782757]
[0.05576576],[0.00176279],[0.6865109]
[0.01048696],[0.00343819],[0.14590025]
[0.06041319],[0.00416023],[0.19110428]
[0.01785289],[0.00053466],[0.78321624]
[0.02802885],[0.00116623],[0.36020496]
[0.02592987],[0.00107355],[0.76200664]
[0.03003163],[0.00528098],[0.17519724]
[0.06363245],[0.00797332],[0.18488267]
[0.03332439],[0.00470865],[0.12316807]
[0.02059657],[0.00329802],[0.1619518]
[0.02577082],[0.0019723],[0.15719435]
[0.0309597],[0.00029748],[0.7527936]
[0.02138292],[0.00150865],[0.21211728]
[0.04588181],[0.00031489],[0.64672875]
[0.03235845],[0.00110996],[0.5712367]
