[0.01103699],[0.00278042],[0.12322032]
[0.01849667],[0.00124985],[0.19868083]
[0.01732901],[0.01362452],[0.6613415]
[0.03768686],[0.00029545],[0.7303919]
[0.02071978],[0.00569897],[0.74537164]
[0.01521711],[0.00640137],[0.72115463]
[0.01570865],[0.0015779],[0.79197884]
[0.0109919],[0.00042609],[0.8275917]
[0.02167016],[0.00069096],[0.7754184]
[0.01149254],[0.00219354],[0.14972991]
[0.20242263],[0.00346514],[0.5085217]
[0.14720272],[0.01250389],[0.3613829]
[0.02810107],[0.00081223],[0.7661993]
[0.02538477],[0.00291552],[0.76394635]
[0.07720941],[0.00340566],[0.6612359]
[0.03147913],[0.00047341],[0.7594882]
[0.02575664],[0.00091145],[0.7608407]
[0.06606908],[0.00160407],[0.6633135]
[0.01003228],[0.00319618],[0.08717345]
[0.01754067],[0.00055886],[0.7834163]
[0.01668255],[0.00281864],[0.71768457]
[0.00962584],[0.00399277],[0.13018587]
