[0.00800663],[0.00330965],[0.10361166]
[0.01807426],[0.00784009],[0.28402874]
[0.15876676],[0.00609741],[0.48424274]
[0.04155635],[0.00211946],[0.447344]
[0.03172208],[0.00080051],[0.7553191]
[0.03541675],[0.00018284],[0.73457843]
[0.09616637],[0.00796702],[0.39614308]
[0.04814579],[0.00128682],[0.6926479]
[0.02268286],[0.00142686],[0.7692925]
[0.02271209],[0.00145611],[0.7754852]
[0.02762352],[0.0014407],[0.7677587]
[0.01639466],[0.00208287],[0.7881538]
[0.01957667],[0.00167493],[0.77766156]
[0.01074072],[0.00061601],[0.19643398]
[0.03297438],[0.00097132],[0.7446712]
[0.03745904],[0.00316012],[0.73719174]
[0.02642302],[0.00660156],[0.37616315]
[0.02170421],[0.00021161],[0.78971845]
[0.02700562],[0.00108999],[0.741835]
[0.02564386],[0.00078388],[0.75399345]
[0.04260239],[0.00318434],[0.5893989]
[0.06896194],[0.00096718],[0.5829436]
[0.01987034],[0.00103806],[0.7762275]
[0.0204479],[0.00192072],[0.7722911]
[0.0582229],[0.00179499],[0.28366855]
[0.02087788],[0.00073775],[0.78045547]
[0.02772304],[0.00021328],[0.75606114]
[0.02017721],[0.00135476],[0.7767163]
[0.02591424],[0.0023538],[0.7636422]
[0.01953763],[0.00093237],[0.7763133]
[0.14376798],[0.01004308],[0.3698925]
[0.05891715],[0.00072463],[0.6756366]
[0.02939224],[0.0004911],[0.75108683]
[0.0204573],[0.00193447],[0.7751339]
[0.03536803],[0.00057496],[0.7444616]
[0.02961964],[0.00083977],[0.7559508]
[0.0180528],[0.00058277],[0.78072536]
[0.05670841],[0.002981],[0.22973084]
[0.0504259],[0.00122941],[0.6941779]
[0.02284455],[0.00016388],[0.76890874]
[0.02636525],[0.00204308],[0.7581507]
[0.02885326],[0.00013317],[0.7541194]
[0.03231017],[0.00034602],[0.7409295]
[0.03066791],[0.00352973],[0.6349987]
[0.02295062],[0.00049252],[0.77251196]
