[0.0092987],[0.00647282],[0.78274906]
[0.01262882],[0.00656206],[0.16596103]
[0.014932],[0.00355662],[0.18450113]
[0.02247837],[0.00200875],[0.76138955]
[0.01860511],[0.000892],[0.7968553]
[0.0212912],[0.00372289],[0.7795766]
[0.01965266],[0.0015547],[0.44766036]
[0.030201],[0.00100772],[0.7548871]
[0.02691837],[0.00116758],[0.75712466]
[0.01673498],[0.00187016],[0.7912518]
[0.06467652],[0.01016826],[0.31610018]
[0.01137591],[0.00085392],[0.825761]
[0.14960751],[0.00569366],[0.55869544]
[0.01830861],[0.00197133],[0.78600866]
[0.01610873],[0.00049449],[0.78617126]
[0.02633903],[0.00061357],[0.7563337]
[0.02478475],[0.00091332],[0.75922155]
[0.01480148],[0.00060248],[0.7937193]
[0.01417378],[0.00034139],[0.7976655]
[0.04433833],[0.00788653],[0.1394716]
[0.02094202],[0.00121758],[0.08876494]
[0.02468346],[0.00035506],[0.20782402]
[0.03049045],[0.00054071],[0.5850677]
[0.02743367],[0.00869801],[0.16063182]
[0.015628],[0.00560234],[0.17194661]
