[0.01840873],[0.00485972],[0.76893044]
[0.05133425],[0.00121367],[0.6993561]
[0.07279987],[0.00279062],[0.5424894]
[0.06145729],[0.0037954],[0.5641266]
[0.02145779],[0.00044374],[0.76687735]
[0.02390464],[0.01522307],[0.60737354]
[0.02656198],[0.00115435],[0.7623519]
[0.02133925],[0.02029622],[0.5900732]
[0.0243418],[0.00333853],[0.60153395]
[0.0424919],[0.00304296],[0.63076603]
[0.08798901],[0.00711746],[0.40574116]
[0.05106833],[0.00507163],[0.28253326]
[0.0173889],[0.00180844],[0.7839627]
[0.14857869],[0.00228361],[0.49069458]
[0.04784549],[0.00316868],[0.23873158]
[0.01990102],[0.00071224],[0.77923954]
[0.01814311],[0.0006824],[0.7754563]
[0.12668371],[0.00418531],[0.4733983]
[0.01956349],[0.00044228],[0.7750741]
[0.01861858],[0.00089854],[0.78342867]
[0.01997576],[0.00067468],[0.7873984]
[0.02223073],[0.00015755],[0.76655513]
[0.03651432],[0.00189086],[0.7377614]
[0.04322896],[0.00245696],[0.689909]
[0.01995818],[0.00106997],[0.77850187]
[0.02060696],[0.00085707],[0.77262]
[0.02032961],[0.00040193],[0.76941556]
[0.02129375],[0.00194406],[0.77449614]
[0.04495457],[0.00124577],[0.71680796]
[0.01719684],[0.00165156],[0.7932858]
[0.01519842],[0.00065722],[0.80892545]
[0.01398478],[0.00227508],[0.7773258]
[0.03316588],[0.00044839],[0.7438114]
[0.06105645],[0.00350546],[0.29850897]
[0.01903161],[0.00141534],[0.7717213]
[0.02403858],[0.0009711],[0.761562]
[0.01462348],[0.00064432],[0.80970764]
[0.05134309],[0.0004326],[0.6775211]
[0.04237745],[0.0092995],[0.19345342]
[0.01830253],[0.00168598],[0.7845923]
[0.01818113],[0.00104995],[0.7849673]
[0.02364732],[0.0006102],[0.76997006]
[0.01294345],[0.00113387],[0.80894375]
[0.01557679],[0.00069914],[0.8025707]
[0.02173643],[0.02193721],[0.24234588]
[0.02039937],[0.00169478],[0.27911252]
[0.02146428],[0.0010785],[0.7750093]
[0.0161231],[0.00087258],[0.78173244]
