[0.01769473],[0.00247413],[0.79298794]
[0.01422632],[0.00232931],[0.16394347]
[0.01094402],[0.00110864],[0.14370838]
[0.11892931],[0.00827893],[0.5635007]
[0.04111516],[0.00573548],[0.3720356]
[0.02781779],[0.00093898],[0.75500095]
[0.03232337],[0.00361246],[0.7215842]
[0.03768362],[0.00052049],[0.72853565]
[0.02533183],[0.00057803],[0.7643888]
[0.05554501],[0.00059245],[0.40991125]
[0.0909002],[0.01513027],[0.57045066]
[0.01368254],[0.00115685],[0.7926652]
[0.01409691],[0.00143931],[0.8018004]
[0.01416524],[0.05753865],[0.25379473]
[0.0218417],[0.00124264],[0.76658064]
[0.04094496],[0.0005895],[0.7299434]
[0.02577868],[0.00165957],[0.7606188]
[0.01873989],[0.00177244],[0.7745328]
[0.02381207],[0.00138499],[0.7736594]
[0.02580136],[0.00152412],[0.758013]
[0.02155869],[0.00068027],[0.75857615]
[0.16242732],[0.00635989],[0.4520312]
[0.02134566],[0.00372576],[0.7677722]
[0.01538634],[0.0007884],[0.7855295]
[0.02634624],[0.0005814],[0.759145]
[0.10740331],[0.01139933],[0.35172337]
[0.02248859],[0.00228499],[0.6195966]
[0.01575384],[0.0002822],[0.7908834]
[0.05693548],[0.00331734],[0.23067966]
[0.04489939],[0.00119752],[0.698284]
[0.06954944],[0.00209616],[0.30700976]
[0.03222465],[0.00015823],[0.75479096]
[0.02304017],[0.00079971],[0.7654912]
[0.01575465],[0.00094764],[0.78716135]
[0.05278802],[0.00150087],[0.17404188]
[0.0324723],[0.00058084],[0.7392551]
[0.01775607],[0.0007256],[0.78579277]
[0.01769262],[0.04552894],[0.25798565]
[0.01855895],[0.00088748],[0.7778362]
[0.02698283],[0.00049132],[0.767748]
[0.01748867],[0.00032145],[0.78724015]
[0.08562472],[0.00864211],[0.2847956]
[0.01282952],[0.00175959],[0.81602085]
[0.01981151],[0.00064432],[0.7807158]
[0.1101217],[0.00341312],[0.3197999]
[0.07304597],[0.00145108],[0.31930727]
[0.02421019],[0.00191726],[0.764816]
[0.01409052],[0.00642338],[0.26188403]
[0.10221934],[0.00974966],[0.47783646]
[0.0173634],[0.00161618],[0.7860018]
[0.01951908],[0.00059848],[0.7723538]
[0.03146712],[0.00440457],[0.19914606]
[0.01450337],[0.00240824],[0.13637176]
[0.02052411],[0.00119545],[0.78102666]
[0.01496741],[0.00867482],[0.08356573]
[0.02841251],[0.00483167],[0.42921084]
