[0.04370406],[0.00295671],[0.49010658]
[0.01662469],[0.00250659],[0.1941295]
[0.03050354],[0.0321292],[0.38700145]
[0.02669466],[0.00279401],[0.4725617]
[0.0258662],[0.0015486],[0.7577816]
[0.01286776],[0.00121183],[0.15160775]
[0.0288649],[0.04339969],[0.3587699]
[0.01206589],[0.00657152],[0.1559852]
[0.01898689],[0.00125669],[0.76735073]
[0.02203588],[0.00132945],[0.77617276]
[0.02652625],[0.00223717],[0.7657348]
[0.0638039],[0.00086801],[0.68021184]
[0.02642637],[0.0005816],[0.75608075]
[0.09274951],[0.02806591],[0.5568023]
[0.01122236],[0.00288049],[0.1626199]
[0.01577839],[0.00057666],[0.7926341]
