[0.01902976],[0.0010095],[0.21932344]
[0.03253505],[0.00144316],[0.62116057]
[0.01057165],[0.00160805],[0.81443816]
[0.00930754],[0.00562884],[0.1184683]
[0.02238698],[0.0007828],[0.7776416]
[0.0113282],[0.00154253],[0.8165458]
[0.00982524],[0.0049576],[0.13247225]
[0.00953182],[0.00155267],[0.8224877]
[0.01716152],[0.04914194],[0.3297612]
[0.03915985],[0.01196396],[0.46241626]
[0.01095262],[0.00041076],[0.80753106]
[0.01751312],[0.00051377],[0.79152024]
[0.01137067],[0.00132417],[0.8097874]
[0.03743808],[0.00108254],[0.73072755]
[0.02657835],[0.00072291],[0.7484676]
[0.03379933],[0.00030334],[0.74815387]
[0.01348666],[0.00430413],[0.8048476]
[0.01951997],[0.0025404],[0.77761143]
[0.01709743],[0.00266202],[0.77907324]
[0.01226186],[0.00157344],[0.7975814]
[0.02121015],[0.00067473],[0.77895314]
[0.02981142],[0.00092675],[0.7547213]
[0.07509324],[0.00544917],[0.39048395]
[0.02557559],[0.00129655],[0.76783866]
[0.00778893],[0.00113543],[0.8372191]
[0.0277637],[0.00032931],[0.75686216]
[0.0115341],[0.00132576],[0.8010187]
[0.06995987],[0.00672748],[0.274563]
[0.01852584],[0.00303942],[0.7774421]
[0.02093764],[0.06829751],[0.35403293]
[0.02424555],[0.00670529],[0.1217079]
[0.01529197],[0.00310125],[0.790003]
[0.01577612],[0.07017698],[0.1858727]
[0.01962275],[0.00168009],[0.7762221]
