[0.01357397],[0.00245485],[0.18579091]
[0.08869381],[0.00718509],[0.4519565]
[0.02267661],[0.00167552],[0.63804746]
[0.10260146],[0.00109557],[0.64468586]
[0.0258093],[0.00134725],[0.75003994]
[0.1006728],[0.00046347],[0.36219907]
[0.01941109],[0.00170728],[0.779987]
[0.03108091],[0.00072064],[0.7362188]
[0.02609806],[0.00072286],[0.77193815]
[0.15997797],[0.00669797],[0.50102884]
[0.03158285],[0.00080987],[0.74321556]
[0.03548969],[0.00457731],[0.4823463]
[0.03212393],[0.00148867],[0.7409576]
[0.01592602],[0.00193893],[0.78446233]
[0.01649338],[0.00084522],[0.7827118]
[0.01381174],[0.00104296],[0.2191772]
[0.02993687],[0.00260139],[0.50067705]
[0.0205696],[0.00150388],[0.7800069]
[0.01214233],[0.06080595],[0.25344023]
[0.0276522],[0.00045543],[0.619916]
[0.02556132],[0.00101518],[0.7614846]
[0.10732384],[0.00396022],[0.6207105]
[0.02871672],[0.01242719],[0.69570464]
[0.02060624],[0.00200862],[0.77428836]
[0.04562168],[0.00187226],[0.71553713]
[0.03072871],[0.00025681],[0.74934924]
[0.01981089],[0.00086141],[0.7880462]
[0.02140092],[0.00185584],[0.7687048]
[0.02198092],[0.00058729],[0.76918554]
[0.13712984],[0.00679933],[0.3650982]
[0.0168836],[0.00036038],[0.7913383]
[0.14833035],[0.00784397],[0.36684868]
[0.02059358],[0.00094148],[0.77280134]
[0.10240821],[0.00907771],[0.6006037]
[0.02014072],[0.00060334],[0.7861382]
[0.13531172],[0.00728308],[0.47969708]
[0.03058924],[0.00087573],[0.7440626]
[0.03463929],[0.00053016],[0.73188466]
[0.02859044],[0.00099373],[0.74945366]
[0.02223811],[0.00147213],[0.76702654]
[0.02247741],[0.00068667],[0.7714006]
[0.08248889],[0.00460961],[0.34697467]
[0.05114143],[0.00146642],[0.55024034]
[0.0852863],[0.00689379],[0.37005392]
[0.10988642],[0.00741723],[0.552636]
[0.02748493],[0.00106124],[0.75599515]
[0.02951301],[0.00153237],[0.75185335]
[0.02946619],[0.00029076],[0.7443469]
[0.02157334],[0.00183698],[0.76440096]
[0.02784842],[0.00102954],[0.7535989]
[0.02698527],[0.00026785],[0.7583798]
[0.01551207],[0.00181992],[0.8022909]
[0.0173618],[0.0014968],[0.7895139]
[0.02648287],[0.00336978],[0.14597145]
[0.0473321],[0.00048393],[0.6904169]
[0.02279134],[0.00143558],[0.7725352]
[0.05036162],[0.00835546],[0.65036637]
[0.03320059],[0.003233],[0.7521786]
[0.00936323],[0.00368418],[0.16748102]
[0.02749079],[0.00029072],[0.75215507]
[0.02709634],[0.00530581],[0.15111457]
