[0.02113691],[0.01367388],[0.19988224]
[0.02220913],[0.0013144],[0.3470203]
[0.01694807],[0.00300038],[0.19076583]
[0.01764005],[0.00696407],[0.17921239]
[0.02616357],[0.00045015],[0.75745755]
[0.1709442],[0.00048268],[0.579909]
[0.03741201],[0.00137164],[0.43815365]
[0.01755314],[0.01135749],[0.6112639]
[0.02485663],[0.00150729],[0.48157963]
[0.01757393],[0.0023622],[0.7732942]
[0.00598361],[0.00131154],[0.85456353]
[0.0110234],[0.00537848],[0.80821323]
[0.02169891],[0.0027783],[0.76502883]
[0.15212342],[0.00123355],[0.43604285]
[0.18804783],[0.00289597],[0.48562312]
[0.02985168],[0.00252216],[0.75342953]
[0.04068662],[0.0015769],[0.72388923]
[0.01894964],[0.00076391],[0.78345245]
[0.09887692],[0.00201274],[0.64484435]
[0.05048719],[0.00035974],[0.6923092]
[0.03526829],[0.00275933],[0.7203175]
[0.0334168],[0.00269793],[0.7425604]
[0.03356721],[0.00543297],[0.6606119]
[0.02453791],[0.00108365],[0.7737931]
[0.04710925],[0.00553187],[0.6286322]
[0.02782258],[0.00153192],[0.4054478]
[0.0632693],[0.00374581],[0.39766902]
[0.01519894],[0.00287439],[0.1615464]
[0.0192693],[0.00383826],[0.1288016]
[0.01518757],[0.00404251],[0.19796798]
