[0.02438762],[0.00046605],[0.7514602]
[0.01185603],[0.00214506],[0.14715214]
[0.01886546],[0.00207675],[0.7752177]
[0.02640682],[0.00173406],[0.76804227]
[0.02425176],[0.00073237],[0.7600741]
[0.00895746],[0.00280923],[0.13300183]
[0.02821286],[0.00043719],[0.76028246]
[0.03289043],[0.00184881],[0.555405]
[0.03528017],[0.00356671],[0.29176363]
[0.01881788],[0.00140878],[0.7729324]
[0.01221576],[0.00325236],[0.80971175]
[0.01003289],[0.00128626],[0.8243357]
[0.00969514],[0.00368642],[0.81979257]
[0.00680399],[0.00089867],[0.8389433]
[0.01973163],[0.00057367],[0.7728192]
[0.01815462],[0.00173053],[0.78992784]
[0.01507193],[0.00163538],[0.7986382]
[0.02801122],[0.00072676],[0.7615879]
[0.01589618],[0.00096442],[0.7944683]
[0.01544375],[0.00073757],[0.7982984]
