[0.02232555],[0.00363993],[0.6351204]
[0.17115763],[0.0038065],[0.5493157]
[0.02096201],[0.00213752],[0.7694994]
[0.03749492],[0.0003324],[0.7448259]
[0.04780529],[0.00288621],[0.3251365]
[0.0288771],[0.00084978],[0.74516046]
[0.00701354],[0.00100839],[0.8335556]
[0.03557349],[0.00139479],[0.72831935]
[0.08746634],[0.0058043],[0.6127467]
[0.01354485],[0.00115556],[0.81374675]
[0.02118276],[0.00026526],[0.77756345]
[0.02684732],[0.00077778],[0.4400615]
[0.03006748],[0.00328976],[0.6696242]
[0.02435914],[0.00068906],[0.7651232]
[0.01358462],[0.00352964],[0.16232906]
[0.02818594],[0.01381779],[0.26161513]
[0.02515315],[0.00123289],[0.7654482]
[0.02103249],[0.00044672],[0.22485869]
[0.01585275],[0.00077809],[0.7895759]
[0.05243836],[0.00133001],[0.3617823]
[0.11401889],[0.02052821],[0.4630826]
[0.05946758],[0.00618818],[0.4911483]
[0.02912182],[0.00059098],[0.75331163]
[0.02640738],[0.00090814],[0.7568698]
[0.03064032],[0.00192539],[0.7493598]
[0.15991259],[0.0120759],[0.41010308]
[0.0556349],[0.0016791],[0.69744366]
[0.05953575],[0.00239396],[0.6754014]
[0.13299169],[0.00447741],[0.53949106]
[0.03661828],[0.00069525],[0.73138267]
[0.02182489],[0.00063038],[0.77357197]
[0.01454144],[0.00214926],[0.79149973]
[0.15467913],[0.00954088],[0.53887933]
[0.10801189],[0.00616052],[0.6060491]
[0.01939793],[0.00321674],[0.787444]
[0.03677844],[0.00417413],[0.7224923]
[0.08660264],[0.01605821],[0.40845713]
[0.13469051],[0.00566612],[0.36870545]
[0.07352519],[0.01786368],[0.37870455]
[0.01836999],[0.00274259],[0.7752581]
[0.15836708],[0.01760858],[0.44749278]
[0.03037937],[0.00106282],[0.74839324]
[0.07588833],[0.00458907],[0.55255663]
[0.05112368],[0.0008432],[0.6962697]
[0.02953455],[0.00011686],[0.748492]
[0.06876373],[0.00178981],[0.4978149]
[0.01506566],[0.00047336],[0.795994]
[0.01400564],[0.00072471],[0.7912876]
[0.15954827],[0.00602117],[0.4604571]
[0.02650333],[0.00132187],[0.742751]
[0.01985933],[0.00499497],[0.12979881]
[0.03464263],[0.00174149],[0.7350169]
[0.06183063],[0.0047896],[0.6305069]
[0.03982192],[0.0012007],[0.1650075]
[0.06921323],[0.00710463],[0.5292854]
[0.01397538],[0.00132295],[0.1294327]
[0.02026694],[0.00208433],[0.12629646]
[0.03420277],[0.00123634],[0.7419237]
[0.01117868],[0.00154561],[0.17049274]
[0.01708092],[0.00146224],[0.14257888]
[0.02831054],[0.0014828],[0.11694958]
[0.03218738],[0.0030008],[0.19480257]
[0.02240019],[0.00036665],[0.7769747]
