[0.01361364],[0.01209189],[0.16714437]
[0.07981908],[0.0019442],[0.2880484]
[0.03155539],[0.00342854],[0.4642828]
[0.01788073],[0.00049568],[0.7814046]
[0.0979188],[0.0286529],[0.538705]
[0.00970761],[0.0030436],[0.12380934]
[0.01897801],[0.00175861],[0.779776]
[0.02379181],[0.00116581],[0.77436864]
[0.07979986],[0.00198869],[0.61786306]
[0.01814394],[0.00065095],[0.79438937]
[0.02504362],[0.00092375],[0.76470566]
[0.01915832],[0.00106253],[0.78027165]
[0.01675541],[0.00128925],[0.7901025]
[0.09731722],[0.00522168],[0.4817501]
[0.04217923],[0.00105617],[0.7091544]
[0.02339505],[0.00013771],[0.76727045]
[0.03916925],[0.00030461],[0.7232367]
[0.01574711],[0.00131969],[0.78908044]
[0.02173523],[0.050335],[0.34415522]
[0.01999106],[0.00106595],[0.7725212]
[0.01444943],[0.06035879],[0.244634]
[0.02317809],[0.00034599],[0.77035964]
[0.02661391],[0.00136546],[0.52822435]
[0.07034945],[0.00053573],[0.6771232]
[0.02673171],[0.00049511],[0.75506866]
[0.05328935],[0.00083232],[0.6968223]
[0.14106713],[0.00033678],[0.5448941]
[0.01557624],[0.0013371],[0.7944976]
[0.02331267],[0.0020747],[0.7621941]
[0.1289377],[0.01314479],[0.42380285]
[0.0513683],[0.00128617],[0.31993675]
[0.01874207],[0.00029357],[0.77861714]
[0.00943491],[0.00113518],[0.8305524]
[0.16060302],[0.01258143],[0.43141693]
[0.06211162],[0.00028609],[0.6774964]
[0.09877409],[0.01382882],[0.29253873]
[0.11176353],[0.00362751],[0.30893105]
[0.01625403],[0.00028167],[0.7934232]
[0.01252686],[0.00190255],[0.8042261]
[0.12381648],[0.01180598],[0.50671905]
[0.02374488],[0.00040769],[0.76587534]
[0.02415868],[0.00288308],[0.7566955]
[0.02305136],[0.00166758],[0.724045]
[0.08213048],[0.00236325],[0.3953362]
[0.02073369],[0.00207872],[0.7807746]
[0.05639457],[0.00029144],[0.70612085]
[0.01173028],[0.00079754],[0.80517673]
[0.02953009],[0.00210875],[0.75213766]
[0.0685223],[0.00175863],[0.45170388]
[0.00467399],[0.00034802],[0.86303633]
[0.06992037],[0.01171842],[0.57714343]
[0.07870143],[0.01941554],[0.38044396]
[0.01638421],[0.00037409],[0.7807924]
[0.02347171],[0.00145478],[0.7588369]
[0.02977398],[0.00424639],[0.74433506]
[0.01271898],[0.00032108],[0.789297]
[0.03316245],[0.00547248],[0.18720171]
[0.02409785],[0.00172387],[0.7489364]
[0.02029385],[0.00054012],[0.7831621]
[0.02364611],[0.00113356],[0.7714488]
[0.0190788],[0.00069435],[0.78184396]
[0.01877723],[0.00144405],[0.7774981]
[0.01258296],[0.00452393],[0.16159984]
[0.02979899],[0.0021987],[0.7539979]
[0.01320468],[0.00253852],[0.1134825]
[0.02317861],[0.00292227],[0.12670612]
[0.02190405],[0.00292552],[0.7640337]
