[0.02274597],[0.00125072],[0.77476645]
[0.02054744],[0.00154529],[0.7652916]
[0.08899304],[0.00040154],[0.6533437]
[0.02887451],[0.0042851],[0.7468305]
[0.01733032],[0.00119966],[0.7847427]
[0.0227137],[0.00027608],[0.77139044]
[0.02277457],[0.00147701],[0.76823866]
[0.02313992],[0.00136199],[0.76100945]
[0.03828362],[0.00103195],[0.7414325]
[0.00918899],[0.00031909],[0.15757109]
[0.03599878],[0.0050845],[0.5639127]
[0.02978602],[0.00121513],[0.7077062]
[0.05529961],[0.00173808],[0.31430995]
[0.01478959],[0.00300587],[0.7876543]
[0.0174233],[0.00225066],[0.7840406]
[0.01280308],[0.00470984],[0.8009485]
[0.01571752],[0.00144578],[0.79815245]
[0.01264256],[0.0017655],[0.8136781]
[0.06885354],[0.00433643],[0.5007084]
[0.025451],[8.291269e-05],[0.7619095]
[0.08572841],[0.00146296],[0.6446884]
[0.0174757],[0.00063683],[0.78266627]
[0.01197499],[0.00313262],[0.8047555]
[0.01108718],[0.00058999],[0.81984216]
[0.02546132],[0.0007457],[0.7670992]
[0.01201553],[0.00115254],[0.8068619]
[0.07248916],[0.02109233],[0.5080215]
[0.02933105],[0.00060148],[0.75056505]
[0.0225411],[0.0018407],[0.7736864]
[0.03342376],[0.003615],[0.6529629]
[0.03260892],[0.00109718],[0.73468596]
[0.02525607],[0.00120057],[0.76489276]
[0.01672217],[0.00255496],[0.7910337]
[0.02505363],[0.00099211],[0.76504403]
[0.09961987],[0.00458605],[0.39285454]
[0.02386809],[0.00167678],[0.76240844]
[0.09012882],[0.01069347],[0.44254297]
[0.0833791],[0.00654094],[0.22886078]
[0.02515631],[0.00108246],[0.7700955]
[0.02221232],[0.00236965],[0.7687504]
[0.04536679],[0.00043669],[0.7169202]
[0.0233022],[0.00102147],[0.70203865]
[0.01768198],[0.0004604],[0.77279586]
