[0.02252027],[0.00166209],[0.76442313]
[0.03084025],[0.00155834],[0.51978445]
[0.04472317],[0.00124162],[0.5607451]
[0.03093527],[0.00265338],[0.7341592]
[0.02411718],[0.00515084],[0.39794585]
[0.0224378],[0.00181589],[0.7798255]
[0.02074538],[0.00209775],[0.77905023]
[0.0192023],[0.00164872],[0.7678692]
[0.09386202],[0.02419823],[0.57367]
[0.05717702],[0.00296959],[0.3089959]
[0.02418341],[0.0012903],[0.77291524]
[0.02623535],[0.00025631],[0.74585575]
[0.12917471],[0.00275334],[0.4861917]
[0.07999509],[0.00835025],[0.31748608]
[0.05138033],[0.0013985],[0.6992103]
[0.02851399],[0.00120238],[0.1738216]
[0.02128496],[0.00110607],[0.08615511]
[0.03256607],[0.00098014],[0.6195281]
[0.03862531],[0.00444232],[0.3963359]
