[0.02581887],[0.00118493],[0.41365352]
[0.01633493],[0.00334474],[0.7980925]
[0.01847397],[0.00059587],[0.7870948]
[0.14153206],[0.00638028],[0.5487555]
[0.01581836],[0.00403953],[0.79595596]
[0.02218082],[0.00114199],[0.7664038]
[0.02835896],[0.00050773],[0.7608958]
[0.02623157],[5.8582635e-05],[0.75603104]
[0.03753642],[0.00272002],[0.5891655]
[0.03484966],[0.00113102],[0.74784786]
[0.01851241],[0.0034635],[0.7811279]
[0.02275478],[0.00137305],[0.7751549]
[0.03798873],[0.03413587],[0.33480924]
[0.02305969],[0.00100762],[0.77401406]
[0.02305124],[0.00279504],[0.23240562]
[0.01036273],[0.00067006],[0.15965472]
[0.02776458],[0.00048584],[0.74603045]
[0.01549855],[0.00107064],[0.7958752]
[0.03684784],[0.00182018],[0.737883]
[0.02769597],[0.00056121],[0.7492796]
[0.05086904],[0.00049303],[0.68551743]
[0.14161061],[0.00583567],[0.4295403]
[0.0568178],[0.00686966],[0.33573413]
[0.09624957],[0.0135504],[0.53063077]
[0.07732584],[0.00363903],[0.3181634]
[0.03329823],[0.00161465],[0.74154663]
[0.05985772],[0.00533],[0.5784527]
[0.0129446],[0.00241848],[0.1616011]
[0.10735784],[0.03096204],[0.34082016]
[0.02777112],[0.00104628],[0.7585244]
[0.03917461],[0.00161411],[0.13765424]
[0.01537393],[0.00017425],[0.7997028]
[0.01450691],[0.00259367],[0.78163815]
[0.01947215],[0.00099566],[0.7814709]
[0.0823696],[0.00369085],[0.27391815]
[0.04473148],[0.00232366],[0.21941984]
[0.07790496],[0.01287777],[0.54488266]
[0.0147999],[0.0070319],[0.18166499]
[0.03436878],[0.00369573],[0.14919905]
