[0.01268941],[0.00043035],[0.1596365]
[0.01113502],[0.00104219],[0.13856083]
[0.01521465],[0.00493647],[0.19048777]
[0.14462622],[0.00688965],[0.46331343]
[0.11293519],[0.00142084],[0.43395454]
[0.0278087],[0.00109149],[0.75792414]
[0.0488387],[0.00089628],[0.7150735]
[0.01864284],[0.00581175],[0.2669741]
[0.02685481],[0.00310732],[0.7115537]
[0.02918117],[0.00096512],[0.7556678]
[0.02427165],[0.00477775],[0.49798188]
[0.02235046],[0.00045603],[0.7803509]
[0.04437251],[0.00039325],[0.713745]
[0.02672909],[0.00082352],[0.75486404]
[0.02137383],[0.00044082],[0.7774862]
[0.02669954],[0.00040525],[0.75374216]
[0.09454442],[0.00322723],[0.6124248]
[0.00818898],[0.00059118],[0.12251459]
[0.01007857],[0.00175587],[0.16053343]
[0.02407354],[0.00035288],[0.7650933]
[0.01856952],[0.00166007],[0.7727105]
[0.01690659],[0.0005224],[0.7933299]
[0.03726282],[0.00870251],[0.24982111]
[0.12347339],[0.01253594],[0.5835972]
[0.02455094],[0.00121824],[0.7604009]
[0.12310885],[0.01481636],[0.3070364]
[0.03319592],[0.00202549],[0.730368]
[0.10867637],[0.00803289],[0.33388782]
[0.11876719],[0.00280469],[0.27656507]
[0.08183841],[0.00596035],[0.3307581]
[0.02156427],[0.00358913],[0.76368636]
[0.14795105],[0.00166694],[0.3437883]
[0.03709564],[0.00077979],[0.7382319]
[0.02285405],[0.00085919],[0.7704879]
[0.02246449],[5.823982e-05],[0.77597976]
[0.0123924],[0.00106083],[0.14890793]
[0.14207406],[0.00407982],[0.404782]
[0.02705745],[0.00089962],[0.7535645]
[0.02544518],[0.00121151],[0.763523]
[0.02325216],[0.00049849],[0.76779616]
[0.03011988],[0.00189308],[0.74825716]
[0.01830099],[0.00162204],[0.78830814]
[0.044298],[0.01078286],[0.23425034]
[0.03173324],[0.0075336],[0.20812342]
[0.11904202],[0.0076785],[0.41057912]
[0.03101391],[0.00022003],[0.7462133]
[0.01389843],[0.00033252],[0.807831]
