[0.04648696],[0.01871619],[0.31221694]
[0.0114972],[0.00181812],[0.80497265]
[0.0309588],[0.00574679],[0.5990902]
[0.02160241],[0.00067345],[0.77747804]
[0.01801653],[0.0009503],[0.7925771]
[0.02264263],[0.00104703],[0.7689908]
[0.01910949],[0.00085945],[0.6962544]
[0.03405614],[0.00044181],[0.75244653]
[0.01770252],[0.00060768],[0.7842396]
[0.02553008],[0.00189511],[0.760928]
[0.12867655],[0.00483154],[0.4993123]
[0.02367446],[0.00021934],[0.75717115]
[0.03993558],[0.00115406],[0.72241557]
[0.02538069],[0.0004957],[0.76183903]
[0.02511626],[0.00353484],[0.7648918]
[0.02423515],[0.00144419],[0.7666591]
