[0.01706103],[0.00084964],[0.21934891]
[0.02001744],[0.00135003],[0.7778249]
[0.02301013],[0.00157795],[0.7536844]
[0.02313698],[0.00020316],[0.7564662]
[0.01884128],[0.00285824],[0.24502584]
[0.02205719],[0.00102631],[0.77063215]
[0.01290048],[0.00256181],[0.14839122]
[0.01918353],[0.00012094],[0.7746701]
[0.01756055],[0.00221683],[0.18977481]
[0.0083319],[0.0037862],[0.1113797]
[0.04303396],[0.00314402],[0.70772284]
[0.02254864],[0.00168564],[0.2128602]
[0.03272508],[0.00433377],[0.5464304]
[0.0404067],[0.00036353],[0.7283243]
[0.05019561],[0.00169196],[0.67611194]
[0.1240956],[0.01326561],[0.30040136]
[0.13070582],[0.00532978],[0.39524102]
[0.0610726],[0.00113601],[0.25070423]
[0.01485511],[0.0330709],[0.19271469]
[0.03996452],[0.00454253],[0.21200342]
[0.0486651],[0.0057359],[0.6676978]
[0.02027448],[0.00074572],[0.784763]
[0.00878381],[0.00131561],[0.8368309]
[0.0142489],[0.00152955],[0.18305668]
[0.02041864],[0.00157791],[0.24284117]
[0.01318417],[0.00066654],[0.17266014]
[0.01245719],[0.00143636],[0.18601595]
[0.01836418],[0.00212921],[0.21169356]
[0.02983081],[0.02711155],[0.31409848]
