[0.00889098],[0.00221678],[0.10173354]
[0.01129965],[0.06786688],[0.26646113]
[0.01164338],[0.00175148],[0.15743169]
[0.01297832],[0.00115946],[0.15609093]
[0.10337733],[0.00216066],[0.3677461]
[0.07878647],[0.00408182],[0.24616866]
[0.01351011],[0.00154453],[0.79514086]
[0.0170626],[0.00144234],[0.7821891]
[0.01142639],[0.00096209],[0.15577225]
[0.02217001],[0.00189317],[0.76639587]
[0.02910673],[0.01398136],[0.14752993]
[0.02308771],[0.00638232],[0.04032562]
[0.01161306],[0.0027675],[0.15128633]
[0.00873432],[0.00282592],[0.04998796]
[0.02328911],[0.0052977],[0.08804441]
[0.02072348],[0.04612029],[0.3049406]
[0.01821658],[0.11457975],[0.30088797]
[0.0323507],[0.03558056],[0.19711292]
[0.01292238],[0.00235605],[0.10721467]
[0.0199748],[0.00102091],[0.20339671]
[0.01538445],[0.00300742],[0.19457178]
[0.01559421],[0.00274334],[0.2182293]
