[0.01435772],[0.02806456],[0.20125428]
[0.02704635],[0.00308475],[0.42513236]
[0.03297694],[0.00087815],[0.743233]
[0.06647768],[0.00049156],[0.690975]
[0.14460623],[0.00112453],[0.5277463]
[0.02301109],[0.00010387],[0.7689508]
[0.01615166],[0.00087254],[0.8038948]
[0.02210697],[0.01210707],[0.60286677]
[0.02490788],[0.00240072],[0.6126811]
[0.04746531],[0.00270085],[0.5947301]
[0.02712894],[0.00063111],[0.7552998]
[0.04073674],[0.00120802],[0.5971149]
[0.0145734],[0.00162799],[0.8027344]
[0.01391966],[0.00145587],[0.78735745]
[0.1212281],[0.00995573],[0.31335554]
[0.02087168],[0.00062374],[0.7742702]
[0.21250172],[0.00018284],[0.55061555]
[0.11433187],[0.01075516],[0.34804636]
[0.10214747],[0.0326844],[0.23977347]
[0.01624778],[0.00156026],[0.7851986]
[0.10194328],[0.01860929],[0.42673954]
[0.01724936],[0.00291679],[0.7765831]
[0.01374827],[0.00054367],[0.8048288]
[0.01227743],[0.0003714],[0.8006185]
[0.02525827],[0.00144575],[0.7622982]
[0.01024545],[0.00283721],[0.82465494]
[0.00943581],[0.0008122],[0.8231306]
[0.10214084],[0.01816502],[0.2746094]
[0.04569807],[0.00080851],[0.24776976]
[0.07238382],[0.00421262],[0.27731842]
[0.03568788],[0.00297426],[0.73586595]
[0.0420365],[0.00699955],[0.19140391]
[0.01435401],[0.00174006],[0.7999633]
[0.05011517],[0.00322906],[0.17773403]
[0.04908467],[0.0094396],[0.16919681]
[0.04243022],[0.00520697],[0.12210853]
[0.04407546],[0.00457583],[0.19936189]
[0.05383995],[0.0033982],[0.17143124]
[0.03908846],[0.00191928],[0.10889535]
[0.0271813],[0.00095028],[0.75474507]
[0.03591924],[0.00340919],[0.19084999]
[0.0145753],[0.00190281],[0.79639995]
[0.04737444],[0.00473041],[0.20170741]
[0.02846995],[0.01759948],[0.18566595]
[0.01125883],[0.00233877],[0.8225233]
[0.01591214],[0.00160469],[0.79537916]
[0.04166331],[0.00467885],[0.22927275]
[0.02351907],[0.01263117],[0.45314297]
[0.01582487],[0.00093475],[0.7911196]
[0.03285483],[0.00291288],[0.6330626]
