[0.03265151],[0.00084575],[0.5566257]
[0.00690091],[0.00765354],[0.08334337]
[0.02206573],[0.00538503],[0.33546522]
[0.03622507],[0.00068732],[0.73171294]
[0.02680506],[0.00573117],[0.12973614]
[0.03209506],[0.00128314],[0.7417467]
[0.01203286],[0.00215154],[0.80656755]
[0.02071895],[0.00302281],[0.51953685]
[0.01710668],[0.00089004],[0.79788405]
[0.0619788],[0.00244272],[0.4600645]
[0.0069952],[0.00185635],[0.84214413]
[0.02775698],[0.00135819],[0.76271814]
[0.00568003],[0.00320245],[0.8636198]
[0.0541337],[0.00087212],[0.7034216]
[0.00913318],[0.00125182],[0.8316514]
[0.04356865],[0.0002287],[0.20554948]
[0.0537261],[0.00188444],[0.29604453]
[0.01444952],[0.00102753],[0.80157816]
[0.01634696],[0.03561389],[0.23076859]
[0.10528824],[0.00969569],[0.5832809]
[0.04339247],[0.00573992],[0.18885742]
[0.01889256],[0.0012736],[0.7788993]
[0.09755065],[0.00374116],[0.27580673]
[0.09511676],[0.00679135],[0.18063748]
[0.02856479],[0.00139082],[0.75663614]
[0.03779652],[0.00277198],[0.19224425]
[0.0320055],[0.00625718],[0.22628002]
[0.02022481],[0.002705],[0.7810805]
[0.02699538],[0.00207262],[0.19169672]
[0.02961403],[0.00348521],[0.1364371]
[0.08294307],[0.00204616],[0.62264884]
[0.04938039],[0.00443397],[0.1871765]
[0.00922902],[0.00185165],[0.817845]
[0.03347875],[0.00075666],[0.11202128]
[0.01967748],[0.0020229],[0.23188391]
[0.01132689],[0.00175345],[0.8053974]
[0.02455072],[0.00328708],[0.17591754]
[0.01795219],[0.00122788],[0.78372616]
[0.0270333],[0.00145829],[0.7512984]
[0.04513631],[0.00562432],[0.4257528]
[0.02663399],[0.00136649],[0.7374405]
[0.03588302],[0.00233817],[0.30490535]
[0.01927478],[0.00159749],[0.77328724]
