[0.02799475],[0.00640363],[0.19062197]
[0.0229973],[0.00869067],[0.5613732]
[0.02577629],[0.00118329],[0.40636414]
[0.01490578],[0.00112658],[0.7933528]
[0.03321011],[0.00150989],[0.72922355]
[0.02497955],[0.00290908],[0.69335884]
[0.01951526],[0.00466285],[0.64784527]
[0.02093218],[0.0005248],[0.7722915]
[0.02708293],[0.00227524],[0.7035986]
[0.02861687],[0.00108926],[0.73376447]
[0.01685907],[0.00707678],[0.7079139]
[0.03780852],[0.01120885],[0.23212619]
[0.03061061],[0.00135206],[0.58601946]
[0.01579316],[0.00091982],[0.79213107]
[0.0183877],[0.0011045],[0.7762391]
[0.04201454],[0.00457203],[0.5408856]
[0.04005382],[0.00206173],[0.61253345]
[0.02103846],[0.00111032],[0.767511]
[0.02357335],[0.00176582],[0.77083504]
[0.01887207],[0.00277329],[0.7815672]
[0.02381706],[0.00149298],[0.76147705]
[0.07298744],[0.00583937],[0.45699328]
[0.02460713],[0.00046862],[0.74789035]
