[0.02151609],[0.00506279],[0.7682611]
[0.04257253],[0.00489836],[0.57497007]
[0.01675317],[0.00027804],[0.78936416]
[0.01921275],[0.00376925],[0.7689929]
[0.15922092],[0.00266801],[0.5196749]
[0.12757553],[0.0038966],[0.5943605]
[0.02440063],[0.03420715],[0.28228837]
[0.01266013],[0.00312953],[0.8019023]
[0.01621513],[0.00226952],[0.22273679]
[0.02553899],[0.00058696],[0.7538049]
[0.01809538],[0.00289714],[0.65084827]
[0.02835998],[0.00205003],[0.4540564]
[0.00742298],[0.00078171],[0.8371397]
[0.04715917],[0.00229416],[0.67213017]
[0.01135678],[0.00133784],[0.82457256]
[0.0088793],[0.00242244],[0.8264273]
[0.01532606],[0.00192652],[0.79654217]
[0.00804367],[0.00103745],[0.8333353]
[0.01529483],[0.00232632],[0.7940652]
[0.0283706],[0.00100807],[0.39547464]
[0.09127529],[0.0051598],[0.39099377]
[0.01647056],[0.00229561],[0.7766394]
[0.03004197],[0.00167289],[0.7464596]
[0.0527474],[0.00254612],[0.2328078]
[0.0361692],[0.00210966],[0.22590093]
[0.0104575],[0.00068934],[0.8078249]
[0.02742923],[0.00262389],[0.75656587]
[0.03660743],[0.00926675],[0.18834439]
[0.0546992],[0.00710121],[0.2563075]
[0.02043464],[0.0022757],[0.75300884]
[0.02667088],[0.01402097],[0.26812738]
[0.02391141],[0.00032354],[0.12591776]
[0.03845141],[0.0014886],[0.22472206]
[0.02328632],[0.00043297],[0.7651657]
[0.05606281],[0.00729584],[0.21911176]
[0.02828274],[0.00851935],[0.18348953]
[0.01747266],[0.00096001],[0.7897385]
[0.02248259],[0.00397291],[0.16973375]
[0.01692639],[0.00192347],[0.7872135]
[0.01540924],[0.00059022],[0.21658473]
[0.03003274],[0.02119543],[0.28547162]
