[0.02061094],[0.03983052],[0.32610506]
[0.01299862],[0.00214249],[0.19325301]
[0.02716052],[0.01991626],[0.27023646]
[0.05376266],[0.00290036],[0.6998427]
[0.05250252],[0.00369285],[0.68619734]
[0.18206003],[0.0058152],[0.5210706]
[0.1495672],[0.01786491],[0.3637231]
[0.02220154],[0.00339568],[0.76893646]
[0.02682862],[0.00897256],[0.49867788]
[0.03264342],[0.0020321],[0.5468744]
[0.0261633],[0.00086981],[0.74680835]
[0.03283001],[0.00750438],[0.41854072]
[0.0254985],[0.00040926],[0.7575845]
[0.02225957],[0.00091612],[0.571414]
[0.02888183],[0.001039],[0.75420976]
[0.02861224],[0.00033292],[0.7497356]
[0.02055458],[0.00106799],[0.7728259]
[0.02946658],[0.00271378],[0.7156209]
[0.03092035],[0.00185921],[0.73763895]
[0.02074554],[4.214752e-05],[0.77641547]
