[0.02952815],[0.00249519],[0.6581482]
[0.02360195],[0.00447718],[0.48103818]
[0.01976992],[0.00197002],[0.5282189]
[0.01950265],[0.00146167],[0.7860829]
[0.02602292],[0.00114546],[0.76312435]
[0.01272833],[0.00681392],[0.8140663]
[0.01936205],[0.01104088],[0.18236978]
[0.0355033],[0.00433053],[0.5305692]
[0.03122399],[0.00450655],[0.6532703]
[0.04045047],[0.0093035],[0.20337573]
[0.0396612],[0.00275837],[0.7173403]
[0.01582262],[0.00146541],[0.79536647]
[0.03050223],[0.00032742],[0.13480668]
[0.02768441],[0.00251796],[0.13282683]
[0.04233013],[0.01062833],[0.17746551]
[0.02328351],[0.00078861],[0.77354634]
[0.01550442],[0.0018934],[0.7913455]
[0.02611276],[0.00080273],[0.76301086]
[0.01420611],[0.00149278],[0.8009149]
