[0.01944072],[0.00294418],[0.5148077]
[0.01862854],[0.00069415],[0.7779081]
[0.02206121],[0.00099415],[0.7704001]
[0.0187261],[0.00071504],[0.22238532]
[0.01995968],[0.00258816],[0.43263578]
[0.03079993],[0.00161772],[0.27835885]
[0.01593571],[0.00361704],[0.74028337]
[0.02629496],[0.00413765],[0.42942542]
[0.0209406],[0.03312811],[0.41675425]
[0.01191602],[0.00116217],[0.8122474]
[0.02393289],[0.00025949],[0.7657191]
[0.0252817],[0.0009418],[0.6325057]
[0.02307904],[0.00056665],[0.77391136]
[0.015548],[0.00303504],[0.14004415]
[0.07325415],[0.00555464],[0.28034267]
[0.02848071],[0.00329255],[0.12313671]
[0.03407878],[0.00108345],[0.7258194]
[0.05863395],[0.00310995],[0.4147707]
