[0.01863881],[0.00166334],[0.216255]
[0.02505861],[0.00629835],[0.51965845]
[0.01780508],[0.00073598],[0.79159796]
[0.01366963],[0.00187816],[0.810733]
[0.02105143],[0.00158672],[0.34541744]
[0.03503778],[0.00978753],[0.5635245]
[0.03076287],[0.00194463],[0.7274318]
[0.02286951],[0.00081354],[0.7674588]
[0.02602808],[0.00176289],[0.7531741]
[0.02672492],[0.01584419],[0.5781366]
[0.03327678],[0.00197099],[0.74269307]
[0.03107077],[0.00360015],[0.2092557]
[0.01671018],[0.00066747],[0.77083766]
[0.02582438],[0.00055094],[0.7571193]
[0.07502994],[0.00488498],[0.28726968]
[0.01228052],[0.00063837],[0.16280584]
[0.0148629],[0.0054286],[0.15839466]
[0.01478648],[0.00099208],[0.7889533]
