[0.02796018],[0.00115773],[0.53897965]
[0.01486255],[0.00545166],[0.18900165]
[0.02243077],[0.00215963],[0.769659]
[0.03803958],[0.00813081],[0.45816603]
[0.03326079],[0.00088915],[0.7478861]
[0.03719259],[0.00032719],[0.7229482]
[0.14728852],[0.03161123],[0.3784296]
[0.02397603],[0.00055119],[0.7702292]
[0.01751349],[0.00120907],[0.7849821]
[0.01739425],[0.00164877],[0.7926879]
[0.01816518],[0.00213153],[0.80060035]
[0.02667501],[0.0013252],[0.7531916]
[0.02085434],[0.00105425],[0.77863675]
[0.02656994],[0.01578744],[0.5069687]
