[0.01559954],[0.02460325],[0.2269218]
[0.02580832],[0.00205718],[0.2024877]
[0.01649913],[0.00175526],[0.7808163]
[0.01570913],[0.00096548],[0.7871406]
[0.01779391],[0.00029898],[0.7802972]
[0.02878896],[0.00064599],[0.75799906]
[0.13087822],[0.00195361],[0.36717606]
[0.01701916],[0.00062782],[0.7951852]
[0.12161888],[0.02166671],[0.4719193]
[0.04629784],[0.00132407],[0.7021914]
[0.05844602],[0.00292364],[0.3054393]
[0.01443625],[0.00018474],[0.81089747]
[0.11891259],[0.01275154],[0.41570616]
[0.01926228],[0.00136676],[0.15236923]
[0.03660612],[0.00108165],[0.7282096]
[0.00963723],[0.00038023],[0.8234166]
[0.01676936],[0.00114548],[0.09047687]
