[0.03370028],[0.00192707],[0.7363405]
[0.02842668],[0.00365286],[0.29809016]
[0.02326506],[0.00046563],[0.7656007]
[0.01894079],[0.00061032],[0.7761458]
[0.02071654],[0.00048796],[0.78252304]
[0.02632432],[0.00104554],[0.7512175]
[0.02369717],[0.0004209],[0.77189535]
[0.01428925],[0.00116648],[0.787899]
[0.11028445],[0.00235703],[0.60841167]
[0.02777991],[0.00204249],[0.6832767]
[0.02455155],[0.00180154],[0.7566477]
[0.01588676],[0.00202169],[0.8018769]
[0.02088157],[0.00111097],[0.77920365]
[0.01367299],[0.00120003],[0.7971756]
[0.01139608],[0.00156095],[0.8125824]
[0.02635955],[0.00250128],[0.7576659]
[0.02149939],[0.00050204],[0.779188]
[0.02157598],[0.00086831],[0.7759691]
[0.02119931],[0.00057073],[0.7691511]
[0.01617385],[0.00096003],[0.79170126]
[0.01910782],[0.00135451],[0.7806053]
[0.04984903],[0.00176691],[0.18127471]
[0.032048],[0.00514604],[0.3873121]
[0.04173447],[0.00392578],[0.1629189]
[0.0125317],[0.00048872],[0.80360067]
[0.03360887],[0.00080729],[0.7436905]
[0.02062128],[0.00203107],[0.77635705]
[0.02792224],[0.00299677],[0.1327602]
[0.03633206],[0.00324377],[0.17218116]
[0.03971832],[0.00201033],[0.18441918]
[0.02995226],[8.533781e-05],[0.7469233]
[0.02902329],[0.00090986],[0.20701163]
[0.03086118],[0.00126546],[0.5941033]
[0.02914691],[0.00297996],[0.4541262]
