[0.02314997],[0.00258685],[0.32178015]
[0.0130931],[0.00268655],[0.75561124]
[0.01895309],[0.00193509],[0.7738329]
[0.02128019],[0.00731353],[0.41771156]
[0.02432694],[0.00169781],[0.7629295]
[0.01332855],[0.00278791],[0.80046624]
[0.05796645],[0.00437966],[0.6224152]
[0.14978054],[0.00810887],[0.45182663]
[0.05294312],[0.00042438],[0.6756228]
[0.0410353],[0.00025226],[0.71562934]
[0.03410817],[0.00131261],[0.72360754]
[0.03401635],[0.00070604],[0.7396821]
[0.03515647],[0.00091123],[0.71740216]
[0.03711586],[0.00100584],[0.72530514]
[0.02565948],[0.00246688],[0.7616618]
[0.04121636],[0.00144821],[0.13223691]
[0.01927194],[0.0005988],[0.7805155]
[0.02691818],[0.00178356],[0.7430681]
[0.05814815],[0.00654487],[0.43545318]
[0.06440198],[0.01185076],[0.48742962]
[0.01722669],[2.800125e-05],[0.78294563]
[0.01882342],[0.00066291],[0.78031]
[0.04691726],[0.0031602],[0.5567997]
